,0,1
0,0,"0.011*""track"" + 0.008*""shell"" + 0.006*""acid"" + 0.006*""plate"" + 0.005*""stiffness"" + 0.005*""starch"" + 0.005*""blood"" + 0.004*""steel"" + 0.004*""circuit"" + 0.004*""mouse"""
1,1,"0.016*""membrane"" + 0.010*""energy"" + 0.009*""battery"" + 0.007*""redox"" + 0.007*""wave"" + 0.007*""organic"" + 0.007*""management"" + 0.006*""ion"" + 0.006*""effect"" + 0.005*""material"""
2,2,"0.017*""iot"" + 0.016*""smart"" + 0.015*""blockchain"" + 0.014*""security"" + 0.012*""internet"" + 0.010*""thing"" + 0.009*""alloy"" + 0.008*""service"" + 0.007*""temperature"" + 0.007*""city"""
3,3,"0.010*""antioxidant"" + 0.010*""cell"" + 0.006*""human"" + 0.006*""wind"" + 0.006*""stream"" + 0.005*""vr"" + 0.005*""cognitive"" + 0.004*""pressure"" + 0.004*""fruit"" + 0.004*""effect"""
4,4,"0.012*""energy"" + 0.010*""power"" + 0.007*""carbon"" + 0.007*""public"" + 0.007*""cost"" + 0.006*""willingness"" + 0.005*""valuation"" + 0.005*""renewable"" + 0.005*""algorithm"" + 0.005*""motor"""
5,5,"0.023*""cell"" + 0.008*""surface"" + 0.007*""acid"" + 0.006*""fuel"" + 0.006*""effect"" + 0.006*""energy"" + 0.005*""catalyst"" + 0.005*""electrochemical"" + 0.004*""environment"" + 0.004*""hydrogel"""
6,6,"0.009*""glucose"" + 0.009*""cell"" + 0.008*""tio"" + 0.007*""carbon"" + 0.007*""power"" + 0.006*""catalyst"" + 0.006*""electron"" + 0.006*""gox"" + 0.006*""torque"" + 0.005*""motor"""
7,7,"0.014*""strain"" + 0.014*""film"" + 0.011*""surface"" + 0.010*""material"" + 0.010*""crack"" + 0.009*""temperature"" + 0.009*""thin"" + 0.008*""metal"" + 0.007*""property"" + 0.007*""sno"""
8,8,"0.015*""water"" + 0.014*""rainfall"" + 0.014*""climate"" + 0.011*""drought"" + 0.009*""temperature"" + 0.007*""heating"" + 0.007*""heat"" + 0.006*""precipitation"" + 0.005*""material"" + 0.005*""effect"""
9,9,"0.012*""strength"" + 0.011*""cu"" + 0.011*""material"" + 0.011*""bonding"" + 0.011*""steel"" + 0.011*""surface"" + 0.009*""property"" + 0.008*""temperature"" + 0.006*""specimen"" + 0.006*""tensile"""
10,10,"0.011*""water"" + 0.010*""chemosensor"" + 0.009*""fluorescence"" + 0.008*""video"" + 0.008*""fluorescent"" + 0.008*""limit"" + 0.008*""user"" + 0.007*""zinc"" + 0.007*""service"" + 0.007*""zn"""
11,11,"0.019*""film"" + 0.016*""cu"" + 0.011*""oxide"" + 0.010*""cell"" + 0.007*""property"" + 0.007*""adsorption"" + 0.007*""pb"" + 0.007*""surface"" + 0.007*""temperature"" + 0.006*""effect"""
12,12,"0.036*""power"" + 0.014*""voltage"" + 0.013*""dc"" + 0.013*""energy"" + 0.012*""converter"" + 0.009*""algorithm"" + 0.007*""image"" + 0.007*""electric"" + 0.007*""object"" + 0.006*""electrode"""
13,13,"0.029*""antenna"" + 0.008*""band"" + 0.007*""mesoporous"" + 0.005*""nanoparticles"" + 0.005*""size"" + 0.005*""synthesis"" + 0.005*""microwave"" + 0.004*""silica"" + 0.004*""bandwidth"" + 0.004*""robot"""
14,14,"0.014*""grid"" + 0.010*""memory"" + 0.009*""voltage"" + 0.007*""state"" + 0.007*""al"" + 0.006*""aln"" + 0.006*""inverter"" + 0.006*""effect"" + 0.005*""connected"" + 0.005*""protein"""
