,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,6.0,0.9918808341026306,"[(6, 0.9918808)]"
1,1,5.0,0.9940152168273926,"[(5, 0.9940153)]"
2,2,6.0,0.7785195112228394,"[(6, 0.7785195), (12, 0.21022062)]"
3,3,7.0,0.9911069869995117,"[(7, 0.991107)]"
4,4,13.0,0.7757439613342285,"[(0, 0.1671974), (11, 0.051925767), (13, 0.77574396)]"
5,5,6.0,0.9924094080924988,"[(6, 0.9924094)]"
6,6,10.0,0.5752377510070801,"[(0, 0.10858477), (5, 0.30939174), (10, 0.57523775)]"
7,7,8.0,0.9856337904930115,"[(8, 0.9856338)]"
8,8,2.0,0.7576198577880859,"[(2, 0.75761986), (9, 0.22601432)]"
9,9,0.0,0.40240299701690674,"[(0, 0.402403), (2, 0.28035966), (4, 0.3068359)]"
10,10,0.0,0.6159389019012451,"[(0, 0.6159389), (2, 0.36737946)]"
11,11,9.0,0.8120343089103699,"[(0, 0.010288978), (4, 0.1653582), (9, 0.8120343)]"
12,12,12.0,0.8407735824584961,"[(12, 0.8407736), (13, 0.15019387)]"
13,13,13.0,0.9844393134117126,"[(13, 0.9844393)]"
14,14,13.0,0.7506942749023438,"[(3, 0.23998079), (13, 0.7506943)]"
15,15,1.0,0.47156813740730286,"[(1, 0.47156814), (5, 0.19267876), (7, 0.09455988), (9, 0.23527329)]"
16,16,9.0,0.9686610698699951,"[(9, 0.96866107), (10, 0.020762738)]"
17,17,8.0,0.9873812198638916,"[(8, 0.9873812)]"
18,18,10.0,0.4292486310005188,"[(6, 0.40898126), (7, 0.15384433), (10, 0.42924863)]"
19,19,14.0,0.9941269755363464,"[(14, 0.9941269)]"
20,20,14.0,0.9910217523574829,"[(14, 0.99102175)]"
21,21,8.0,0.6838259696960449,"[(8, 0.68382597), (13, 0.30261913)]"
22,22,11.0,0.6104528903961182,"[(9, 0.3811291), (11, 0.6104529)]"
23,23,11.0,0.5116610527038574,"[(1, 0.3211009), (3, 0.16039607), (11, 0.51166105)]"
24,24,2.0,0.9132511019706726,"[(2, 0.9132511), (8, 0.079757355)]"
25,25,9.0,0.9510327577590942,"[(7, 0.042138465), (9, 0.9510327)]"
26,26,7.0,0.4964451193809509,"[(5, 0.39177153), (7, 0.49644515), (8, 0.10138793)]"
27,27,10.0,0.5476382970809937,"[(7, 0.32690263), (10, 0.5476383), (13, 0.11656257)]"
28,28,14.0,0.9931349158287048,"[(14, 0.99313486)]"
29,29,9.0,0.9928171634674072,"[(9, 0.99281716)]"
30,30,12.0,0.8617458939552307,"[(0, 0.113917306), (6, 0.019763177), (12, 0.8617459)]"
31,31,9.0,0.9278929829597473,"[(8, 0.06384872), (9, 0.927893)]"
32,32,12.0,0.8912321329116821,"[(12, 0.89123213), (14, 0.09793015)]"
33,33,3.0,0.6966028809547424,"[(3, 0.6966029), (12, 0.29463947)]"
34,34,8.0,0.9252556562423706,"[(3, 0.06477757), (8, 0.9252557)]"
35,35,10.0,0.889138400554657,"[(9, 0.103188924), (10, 0.8891384)]"
36,36,5.0,0.832236647605896,"[(5, 0.83223665), (12, 0.057716288), (14, 0.10314258)]"
37,37,2.0,0.9912725687026978,"[(2, 0.9912725)]"
38,38,2.0,0.9896268844604492,"[(2, 0.9896269)]"
39,39,12.0,0.5324507355690002,"[(4, 0.45920897), (12, 0.53245074)]"
40,40,9.0,0.8238081932067871,"[(2, 0.15425125), (9, 0.8238082), (13, 0.016053056)]"
41,41,12.0,0.754624605178833,"[(1, 0.051822398), (12, 0.7546246), (14, 0.18485138)]"
42,42,7.0,0.6465997695922852,"[(5, 0.34436914), (7, 0.64659977)]"
43,43,10.0,0.6996060609817505,"[(5, 0.28927413), (10, 0.69960606)]"
44,44,14.0,0.9809398651123047,"[(14, 0.9809399)]"
45,45,4.0,0.9854066967964172,"[(4, 0.98540664)]"
46,46,10.0,0.5259020328521729,"[(10, 0.52590203), (13, 0.4646695)]"
47,47,11.0,0.9949523210525513,"[(11, 0.9949523)]"
48,48,14.0,0.4975265860557556,"[(7, 0.49437144), (14, 0.4975266)]"
49,49,5.0,0.8993001580238342,"[(5, 0.8993001), (14, 0.09266609)]"
50,50,9.0,0.9201212525367737,"[(3, 0.07192449), (9, 0.92012125)]"
51,51,1.0,0.9851787090301514,"[(1, 0.98517877)]"
52,52,6.0,0.5187456607818604,"[(4, 0.47240555), (6, 0.51874566)]"
53,53,4.0,0.3878213167190552,"[(2, 0.10608492), (4, 0.38782132), (8, 0.15503761), (14, 0.34444395)]"
54,54,10.0,0.7360237836837769,"[(10, 0.7360238), (13, 0.25256363)]"
