,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,1.0,0.6965512633323669,"[(1, 0.69655126), (6, 0.010592795), (9, 0.087540366), (20, 0.024313593), (28, 0.029948462), (29, 0.1436338)]"
1,1,16.0,0.3803975284099579,"[(4, 0.21822914), (9, 0.19598146), (16, 0.38039753), (20, 0.030100277), (23, 0.09220787), (29, 0.07355117)]"
2,2,29.0,0.6492735147476196,"[(5, 0.020644946), (9, 0.026314482), (12, 0.014274164), (13, 0.120652325), (23, 0.10693951), (27, 0.05336644), (29, 0.6492735)]"
3,3,11.0,0.8394039869308472,"[(2, 0.109503105), (11, 0.839404), (14, 0.03966499)]"
4,4,18.0,0.3014768958091736,"[(4, 0.06840005), (10, 0.051736526), (11, 0.09963661), (13, 0.011116724), (14, 0.11703742), (15, 0.0956357), (17, 0.08074217), (18, 0.3014769), (27, 0.044556677), (28, 0.12324214)]"
5,5,22.0,0.22230049967765808,"[(1, 0.01274438), (3, 0.030152246), (11, 0.018525204), (12, 0.16514042), (14, 0.07172005), (15, 0.1888288), (19, 0.088673875), (22, 0.2223005), (27, 0.19437365)]"
6,6,10.0,0.4964340329170227,"[(10, 0.49643403), (12, 0.015224472), (16, 0.01261179), (18, 0.36849454), (23, 0.012326264), (26, 0.08735085)]"
7,7,4.0,0.4896588921546936,"[(3, 0.012614834), (4, 0.4896589), (15, 0.05509393), (17, 0.026136156), (22, 0.41178465)]"
8,8,29.0,0.8596245646476746,"[(1, 0.0212524), (5, 0.040939692), (13, 0.01875941), (20, 0.051480684), (29, 0.85962456)]"
9,9,21.0,0.31089627742767334,"[(4, 0.015916513), (11, 0.117122225), (19, 0.28314176), (20, 0.06146141), (21, 0.31089628), (27, 0.08891532), (29, 0.11255885)]"
10,10,10.0,0.5013361573219299,"[(5, 0.041983794), (8, 0.02016358), (10, 0.50133616), (13, 0.10513853), (19, 0.32010412)]"
11,11,24.0,0.6394273638725281,"[(21, 0.20781428), (23, 0.12231635), (24, 0.63942736), (28, 0.017863333)]"
12,12,29.0,0.7403364777565002,"[(15, 0.24917288), (29, 0.7403365)]"
13,13,29.0,0.7036094665527344,"[(12, 0.027880242), (23, 0.097769134), (27, 0.16285373), (29, 0.70360947)]"
14,14,2.0,0.3364451229572296,"[(2, 0.33644512), (6, 0.32222033), (11, 0.23906729), (17, 0.011384542), (21, 0.017325629), (29, 0.06671534)]"
15,15,14.0,0.9134340882301331,"[(2, 0.030251155), (14, 0.91343415), (28, 0.04740199)]"
16,16,2.0,0.8705359101295471,"[(2, 0.87053585), (11, 0.042957667), (12, 0.041229043), (21, 0.021972043), (28, 0.010282554)]"
17,17,2.0,0.924371063709259,"[(1, 0.067579105), (2, 0.924371)]"
18,18,2.0,0.37340161204338074,"[(2, 0.3734016), (4, 0.2913326), (6, 0.041738782), (11, 0.2474315), (29, 0.033057556)]"
19,19,29.0,0.47369685769081116,"[(13, 0.11587276), (20, 0.19195265), (27, 0.20039627), (29, 0.4736969)]"
20,20,9.0,0.8031834959983826,"[(5, 0.18666872), (9, 0.8031835)]"
21,21,17.0,0.8755061626434326,"[(17, 0.8755062), (22, 0.097164474), (29, 0.019826528)]"
22,22,17.0,0.9807377457618713,"[(9, 0.0102846995), (17, 0.98073775)]"
