,0,1
0,0,"0.027*""drought"" + 0.011*""return"" + 0.009*""dark"" + 0.007*""bearing"" + 0.007*""temperature"" + 0.006*""season"" + 0.006*""black"" + 0.006*""extreme"" + 0.005*""gas"" + 0.005*""ar"""
1,1,"0.048*""image"" + 0.030*""algorithm"" + 0.023*""robot"" + 0.018*""object"" + 0.014*""memory"" + 0.013*""roll"" + 0.012*""controller"" + 0.012*""hardware"" + 0.012*""camera"" + 0.011*""cost"""
2,2,"0.023*""neural"" + 0.022*""safety"" + 0.017*""deep"" + 0.012*""human"" + 0.011*""physical"" + 0.011*""tax"" + 0.009*""autonomous"" + 0.009*""education"" + 0.008*""also"" + 0.008*""environment"""
3,3,"0.026*""virtual"" + 0.020*""quality"" + 0.014*""use"" + 0.012*""urban"" + 0.011*""reality"" + 0.011*""air"" + 0.010*""distance"" + 0.010*""vr"" + 0.009*""simulation"" + 0.009*""indoor"""
4,4,"0.041*""film"" + 0.017*""oxide"" + 0.016*""nanoparticles"" + 0.014*""property"" + 0.014*""deposition"" + 0.013*""temperature"" + 0.013*""thin"" + 0.012*""optical"" + 0.010*""ag"" + 0.009*""synthesis"""
5,5,"0.029*""material"" + 0.021*""surface"" + 0.015*""cell"" + 0.012*""oxide"" + 0.011*""fuel"" + 0.011*""transparent"" + 0.011*""electrode"" + 0.009*""membrane"" + 0.008*""polymer"" + 0.008*""film"""
6,6,"0.031*""laser"" + 0.016*""printing"" + 0.013*""bone"" + 0.010*""pd"" + 0.010*""manufacturing"" + 0.009*""cell"" + 0.008*""anisotropic"" + 0.007*""protein"" + 0.006*""phosphatase"" + 0.006*""printed"""
7,7,"0.044*""cell"" + 0.027*""drug"" + 0.020*""hydrogel"" + 0.018*""tissue"" + 0.017*""membrane"" + 0.012*""acid"" + 0.011*""human"" + 0.010*""skin"" + 0.009*""ph"" + 0.008*""liposome"""
8,8,"0.042*""energy"" + 0.032*""power"" + 0.017*""risk"" + 0.014*""torque"" + 0.013*""cost"" + 0.013*""renewable"" + 0.011*""electricity"" + 0.011*""heat"" + 0.010*""motor"" + 0.009*""speed"""
9,9,"0.022*""protein"" + 0.018*""acid"" + 0.014*""antioxidant"" + 0.014*""expression"" + 0.013*""effect"" + 0.013*""human"" + 0.012*""gene"" + 0.012*""animal"" + 0.012*""blood"" + 0.011*""content"""
10,10,"0.022*""emulsion"" + 0.019*""zinc"" + 0.015*""zn"" + 0.012*""surface"" + 0.011*""interfacial"" + 0.010*""droplet"" + 0.008*""degradation"" + 0.008*""fluorescence"" + 0.008*""sensor"" + 0.008*""zebrafish"""
11,11,"0.028*""willingness"" + 0.025*""valuation"" + 0.022*""energy"" + 0.018*""wtp"" + 0.017*""consumer"" + 0.016*""krw"" + 0.016*""oil"" + 0.015*""household"" + 0.015*""tree"" + 0.015*""emission"""
12,12,"0.038*""service"" + 0.024*""social"" + 0.017*""video"" + 0.014*""user"" + 0.013*""springer"" + 0.012*""business"" + 0.011*""customer"" + 0.010*""database"" + 0.010*""part"" + 0.010*""new"""
13,13,"0.024*""surface"" + 0.024*""metal"" + 0.017*""pressure"" + 0.017*""mold"" + 0.015*""particle"" + 0.013*""wall"" + 0.012*""fabrication"" + 0.012*""molding"" + 0.010*""microfluidic"" + 0.010*""si"""
