,0,1
0,0,"0.025*""crack"" + 0.016*""fiber"" + 0.015*""pipe"" + 0.011*""fracture"" + 0.010*""strain"" + 0.009*""material"" + 0.009*""energy"" + 0.009*""sn"" + 0.008*""effect"" + 0.007*""fe"""
1,1,"0.025*""power"" + 0.014*""module"" + 0.012*""lifetime"" + 0.010*""path"" + 0.009*""inverter"" + 0.009*""temperature"" + 0.009*""motor"" + 0.008*""thermal"" + 0.007*""igbt"" + 0.007*""drive"""
2,2,"0.010*""sulfide"" + 0.007*""color"" + 0.007*""character"" + 0.006*""dna"" + 0.006*""fermentation"" + 0.006*""content"" + 0.006*""thyroid"" + 0.005*""iron"" + 0.005*""also"" + 0.005*""national"""
3,3,"0.036*""electrode"" + 0.027*""carbon"" + 0.020*""electrochemical"" + 0.017*""material"" + 0.016*""energy"" + 0.013*""cell"" + 0.012*""electrical"" + 0.011*""surface"" + 0.010*""composite"" + 0.009*""charge"""
4,4,"0.027*""power"" + 0.022*""energy"" + 0.014*""memory"" + 0.014*""optimization"" + 0.012*""algorithm"" + 0.009*""simulation"" + 0.009*""storage"" + 0.008*""hybrid"" + 0.008*""disturbance"" + 0.008*""electric"""
5,5,"0.038*""voltage"" + 0.037*""power"" + 0.035*""dc"" + 0.031*""converter"" + 0.014*""circuit"" + 0.012*""fe"" + 0.010*""fuel"" + 0.010*""switching"" + 0.008*""electric"" + 0.007*""battery"""
6,6,"0.017*""laser"" + 0.010*""redox"" + 0.008*""shock"" + 0.007*""risk"" + 0.007*""effect"" + 0.006*""mass"" + 0.006*""aqds"" + 0.005*""aqueous"" + 0.005*""compensation"" + 0.005*""anthraquinone"""
7,7,"0.020*""railway"" + 0.018*""track"" + 0.017*""speed"" + 0.011*""license"" + 0.010*""train"" + 0.009*""waterproofing"" + 0.009*""material"" + 0.009*""bridge"" + 0.009*""open"" + 0.007*""humidity"""
8,8,"0.034*""film"" + 0.024*""cell"" + 0.021*""oxide"" + 0.020*""thin"" + 0.019*""fuel"" + 0.018*""temperature"" + 0.018*""deposition"" + 0.014*""atomic"" + 0.013*""ald"" + 0.012*""electrolyte"""
9,9,"0.024*""risk"" + 0.016*""machine"" + 0.015*""mobile"" + 0.013*""patent"" + 0.012*""cost"" + 0.009*""ai"" + 0.008*""iot"" + 0.007*""internet"" + 0.007*""return"" + 0.006*""technological"""
10,10,"0.008*""surface"" + 0.007*""house"" + 0.006*""deflection"" + 0.006*""aged"" + 0.006*""effect"" + 0.005*""material"" + 0.005*""tio"" + 0.005*""neural"" + 0.005*""synthesis"" + 0.005*""emission"""
11,11,"0.022*""adsorption"" + 0.014*""surface"" + 0.014*""pb"" + 0.010*""cesium"" + 0.008*""acid"" + 0.008*""biofilm"" + 0.008*""carbon"" + 0.008*""temperature"" + 0.007*""water"" + 0.006*""felt"""
12,12,"0.030*""grid"" + 0.028*""voltage"" + 0.018*""aln"" + 0.017*""interfacial"" + 0.015*""inverter"" + 0.014*""state"" + 0.013*""al"" + 0.013*""interface"" + 0.012*""gan"" + 0.011*""degradation"""
13,13,"0.025*""ion"" + 0.021*""sensor"" + 0.020*""fluorescence"" + 0.019*""chemosensor"" + 0.017*""zinc"" + 0.017*""zn"" + 0.016*""limit"" + 0.015*""fluorescent"" + 0.013*""lithium"" + 0.013*""colorimetric"""
14,14,"0.012*""temperature"" + 0.009*""joint"" + 0.009*""rgo"" + 0.008*""heavy"" + 0.007*""metal"" + 0.007*""spray"" + 0.006*""knee"" + 0.005*""adsorption"" + 0.005*""pepc"" + 0.005*""strength"""
15,15,"0.028*""energy"" + 0.016*""drought"" + 0.014*""public"" + 0.013*""willingness"" + 0.012*""economic"" + 0.011*""power"" + 0.011*""renewable"" + 0.010*""valuation"" + 0.009*""use"" + 0.009*""gas"""
16,16,"0.037*""image"" + 0.021*""algorithm"" + 0.020*""deep"" + 0.018*""object"" + 0.016*""neural"" + 0.011*""roll"" + 0.009*""memory"" + 0.009*""filter"" + 0.009*""camera"" + 0.008*""convolutional"""
17,17,"0.026*""film"" + 0.014*""cell"" + 0.014*""hydrogel"" + 0.013*""property"" + 0.013*""optical"" + 0.010*""metal"" + 0.009*""oxide"" + 0.009*""transparent"" + 0.009*""electrical"" + 0.009*""drug"""
18,18,"0.014*""blood"" + 0.013*""acid"" + 0.011*""nanoparticles"" + 0.010*""drug"" + 0.009*""cell"" + 0.008*""insulin"" + 0.007*""male"" + 0.007*""carrier"" + 0.007*""adult"" + 0.007*""hap"""
19,19,"0.040*""service"" + 0.027*""neural"" + 0.017*""customer"" + 0.013*""pump"" + 0.010*""satisfaction"" + 0.009*""heat"" + 0.008*""store"" + 0.007*""precipitation"" + 0.006*""product"" + 0.006*""business"""
20,20,"0.024*""cell"" + 0.018*""protein"" + 0.014*""expression"" + 0.013*""effect"" + 0.011*""antioxidant"" + 0.009*""gene"" + 0.008*""animal"" + 0.008*""bone"" + 0.007*""acid"" + 0.007*""human"""
21,21,"0.020*""steel"" + 0.017*""strength"" + 0.016*""surface"" + 0.016*""material"" + 0.016*""temperature"" + 0.015*""strain"" + 0.012*""specimen"" + 0.012*""metal"" + 0.012*""property"" + 0.012*""mechanical"""
22,22,"0.054*""membrane"" + 0.020*""charge"" + 0.015*""cell"" + 0.014*""redox"" + 0.012*""battery"" + 0.011*""energy"" + 0.011*""active"" + 0.010*""electrolyte"" + 0.010*""voltage"" + 0.008*""circuit"""
23,23,"0.028*""smart"" + 0.025*""security"" + 0.024*""iot"" + 0.023*""blockchain"" + 0.017*""internet"" + 0.015*""thing"" + 0.011*""city"" + 0.011*""architecture"" + 0.011*""attack"" + 0.009*""service"""
24,24,"0.021*""algorithm"" + 0.013*""hydrogen"" + 0.012*""motion"" + 0.012*""virtual"" + 0.011*""user"" + 0.009*""mimo"" + 0.008*""vr"" + 0.008*""autonomous"" + 0.008*""wave"" + 0.008*""underwater"""
25,25,"0.039*""cu"" + 0.017*""copper"" + 0.016*""bonding"" + 0.016*""surface"" + 0.013*""emulsion"" + 0.012*""plasma"" + 0.009*""oil"" + 0.008*""temperature"" + 0.008*""material"" + 0.008*""magnetic"""
26,26,"0.017*""powder"" + 0.015*""alloy"" + 0.015*""torque"" + 0.014*""motor"" + 0.013*""wave"" + 0.011*""oxide"" + 0.008*""ni"" + 0.008*""mechanical"" + 0.008*""mo"" + 0.007*""dispersion"""
27,27,"0.027*""water"" + 0.020*""catalyst"" + 0.020*""climate"" + 0.020*""rainfall"" + 0.013*""glucose"" + 0.010*""precipitation"" + 0.010*""carbon"" + 0.009*""temperature"" + 0.009*""gox"" + 0.008*""gcms"""
28,28,"0.059*""antenna"" + 0.020*""band"" + 0.020*""cu"" + 0.010*""ghz"" + 0.010*""ag"" + 0.010*""bandwidth"" + 0.009*""power"" + 0.008*""radiation"" + 0.008*""bonding"" + 0.008*""ultra"""
