,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,16.0,0.9217353463172913,"[(16, 0.92173535), (24, 0.06000781), (29, 0.010425666)]"
1,1,14.0,0.4277370870113373,"[(5, 0.3536639), (8, 0.033964977), (14, 0.4277371), (26, 0.14204794), (27, 0.03724057)]"
2,2,16.0,0.4089355170726776,"[(2, 0.14108866), (4, 0.050356098), (16, 0.40893552), (20, 0.09245344), (26, 0.2963316)]"
3,3,1.0,0.6019871830940247,"[(1, 0.6019872), (8, 0.19575313), (21, 0.08442385), (28, 0.109579094)]"
4,4,18.0,0.9938022494316101,"[(18, 0.9938022)]"
5,5,12.0,0.27239713072776794,"[(3, 0.15507947), (8, 0.15274802), (12, 0.27239713), (16, 0.14573355), (17, 0.10235624), (29, 0.16517638)]"
6,6,5.0,0.9261255860328674,"[(3, 0.06596209), (5, 0.9261256)]"
7,7,0.0,0.9851230978965759,"[(0, 0.9851231)]"
8,8,21.0,0.3971017599105835,"[(7, 0.27311486), (8, 0.31278867), (21, 0.39710176)]"
9,9,7.0,0.9874430894851685,"[(7, 0.9874431)]"
10,10,7.0,0.981407105922699,"[(7, 0.9814071)]"
11,11,29.0,0.549107015132904,"[(7, 0.4365279), (29, 0.549107)]"
12,12,21.0,0.5363063216209412,"[(8, 0.19159809), (12, 0.22836131), (19, 0.034700867), (21, 0.5363063)]"
13,13,28.0,0.7627026438713074,"[(9, 0.019383341), (17, 0.20290607), (28, 0.76270264)]"
14,14,8.0,0.5882542133331299,"[(8, 0.5882542), (20, 0.40170512)]"
15,15,22.0,0.37708353996276855,"[(2, 0.09120034), (8, 0.014905267), (9, 0.09674435), (21, 0.09245804), (22, 0.37708354), (27, 0.32115155)]"
16,16,17.0,0.2687397003173828,"[(2, 0.11705658), (12, 0.13663895), (17, 0.2687397), (23, 0.17398845), (25, 0.16892289), (27, 0.026986552), (29, 0.098304175)]"
17,17,14.0,0.986934244632721,"[(14, 0.9869343)]"
18,18,8.0,0.5381179451942444,"[(8, 0.53811795), (15, 0.061355263), (16, 0.30486476), (22, 0.078077056)]"
19,19,20.0,0.7376799583435059,"[(2, 0.015965218), (10, 0.035067283), (13, 0.20583346), (20, 0.73767996)]"
20,20,26.0,0.9907028079032898,"[(26, 0.9907028)]"
21,21,1.0,0.7747169733047485,"[(1, 0.774717), (15, 0.2106957)]"
22,22,25.0,0.990612804889679,"[(25, 0.99061275)]"
23,23,20.0,0.9917365312576294,"[(20, 0.99173653)]"
24,24,14.0,0.9922031760215759,"[(14, 0.9922032)]"
25,25,20.0,0.7115272283554077,"[(20, 0.7115272), (21, 0.28112102)]"
26,26,15.0,0.343991219997406,"[(15, 0.34399122), (17, 0.22014041), (23, 0.12314149), (27, 0.1881971), (28, 0.113697276)]"
27,27,25.0,0.6770514249801636,"[(13, 0.3125737), (25, 0.6770514)]"
28,28,12.0,0.7295569181442261,"[(12, 0.7295569), (15, 0.075456046), (16, 0.046498522), (21, 0.14210786)]"
29,29,0.0,0.9925622940063477,"[(0, 0.99256223)]"
30,30,6.0,0.9944755434989929,"[(6, 0.9944755)]"
31,31,13.0,0.899281919002533,"[(13, 0.8992819), (21, 0.09182575)]"
32,32,10.0,0.5630375146865845,"[(10, 0.5630375), (11, 0.1511603), (15, 0.092871584), (20, 0.18209039)]"
33,33,24.0,0.6978614926338196,"[(24, 0.6978615), (29, 0.29270646)]"
34,34,16.0,0.4365631937980652,"[(15, 0.22312279), (16, 0.43656322), (27, 0.32996333)]"
35,35,6.0,0.6792124509811401,"[(6, 0.67921245), (21, 0.1981012), (25, 0.11471993)]"
36,36,22.0,0.9916649460792542,"[(22, 0.99166495)]"
37,37,23.0,0.4975666105747223,"[(5, 0.38420072), (9, 0.084652856), (16, 0.02547475), (23, 0.4975666)]"
38,38,8.0,0.6136164665222168,"[(8, 0.61361647), (26, 0.37601092)]"
39,39,15.0,0.5382030606269836,"[(0, 0.45281914), (15, 0.53820306)]"
40,40,11.0,0.772782027721405,"[(11, 0.772782), (23, 0.22035223)]"
41,41,23.0,0.24524138867855072,"[(8, 0.1704931), (10, 0.061590947), (12, 0.085184656), (13, 0.1944531), (21, 0.23433284), (23, 0.2452414)]"
42,42,7.0,0.3644983768463135,"[(3, 0.25168404), (5, 0.20125747), (7, 0.36449838), (17, 0.17352822)]"
43,43,13.0,0.5827805399894714,"[(13, 0.58278054), (15, 0.40524882)]"
44,44,29.0,0.6131874322891235,"[(9, 0.36775687), (29, 0.61318743)]"
45,45,4.0,0.9848902821540833,"[(4, 0.9848903)]"
46,46,25.0,0.5941986441612244,"[(13, 0.39565277), (25, 0.59419864)]"
47,47,14.0,0.6128301620483398,"[(14, 0.61283016), (17, 0.08280744), (20, 0.29248497)]"
48,48,12.0,0.5651630163192749,"[(8, 0.21976326), (12, 0.565163), (22, 0.0817284), (29, 0.12524284)]"
49,49,25.0,0.9808326363563538,"[(6, 0.010522935), (25, 0.9808327)]"
50,50,18.0,0.9911302328109741,"[(18, 0.9911302)]"
51,51,21.0,0.8851001262664795,"[(21, 0.8851001), (24, 0.10007731)]"
52,52,15.0,0.602894127368927,"[(15, 0.6028941), (22, 0.38757867)]"
53,53,15.0,0.5380351543426514,"[(7, 0.45355356), (15, 0.53803515)]"
54,54,13.0,0.560243546962738,"[(13, 0.56024355), (27, 0.4274703)]"
55,55,13.0,0.5816493034362793,"[(1, 0.2809881), (11, 0.054562435), (13, 0.5816493), (19, 0.07337382)]"
56,56,13.0,0.478069543838501,"[(13, 0.47806954), (14, 0.020754933), (19, 0.017745228), (21, 0.25014383), (28, 0.22672158)]"
57,57,16.0,0.5527198910713196,"[(4, 0.12129537), (10, 0.31609038), (16, 0.5527199)]"
58,58,21.0,0.471818745136261,"[(21, 0.47181877), (24, 0.12564366), (25, 0.3940411)]"
59,59,17.0,0.6517754793167114,"[(4, 0.14741163), (7, 0.1740435), (17, 0.6517755), (26, 0.017345982)]"
60,60,23.0,0.3900083601474762,"[(9, 0.01863553), (10, 0.025702551), (17, 0.26441506), (21, 0.07924032), (23, 0.39000836), (27, 0.20928495)]"
61,61,9.0,0.989713728427887,"[(9, 0.9897137)]"
62,62,21.0,0.3837886452674866,"[(13, 0.06037701), (21, 0.38378865), (28, 0.31275782), (29, 0.23504743)]"
63,63,27.0,0.589181125164032,"[(3, 0.402329), (27, 0.5891811)]"
64,64,5.0,0.5277337431907654,"[(5, 0.52773374), (13, 0.46115097)]"
65,65,27.0,0.6070471405982971,"[(11, 0.03999034), (15, 0.23650536), (23, 0.109569915), (27, 0.60704714)]"
