,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,18.0,0.5105379819869995,"[(3, 0.07941894), (5, 0.14270028), (6, 0.012766042), (10, 0.031864375), (14, 0.056809325), (18, 0.510538), (28, 0.15879598)]"
1,1,14.0,0.44139406085014343,"[(3, 0.028860906), (8, 0.032256447), (9, 0.09803001), (14, 0.44139406), (18, 0.24680015), (22, 0.08674725), (24, 0.057382986)]"
2,2,24.0,0.5435205101966858,"[(0, 0.035720557), (2, 0.20490648), (9, 0.054756846), (10, 0.15090634), (24, 0.5435205)]"
3,3,17.0,0.7656061053276062,"[(10, 0.11586583), (17, 0.7656061), (20, 0.020871038), (28, 0.08651695)]"
4,4,15.0,0.48773661255836487,"[(5, 0.09910111), (12, 0.10793556), (15, 0.48773664), (18, 0.054157354), (20, 0.15902036), (28, 0.08456124)]"
5,5,26.0,0.5290263295173645,"[(5, 0.011129035), (7, 0.039392706), (10, 0.033354778), (16, 0.07336238), (19, 0.18228105), (22, 0.12353625), (26, 0.5290263)]"
6,6,1.0,0.5165404081344604,"[(1, 0.5165404), (2, 0.06229515), (3, 0.05536076), (7, 0.022118423), (8, 0.16122499), (11, 0.052038595), (20, 0.012056465), (21, 0.10060909), (22, 0.011853512)]"
7,7,23.0,0.8333165049552917,"[(9, 0.011545373), (17, 0.05143674), (19, 0.026911892), (23, 0.8333165), (26, 0.03992148), (27, 0.02352609)]"
8,8,1.0,0.34422457218170166,"[(1, 0.34422457), (3, 0.058665555), (9, 0.13850829), (10, 0.25533226), (11, 0.07168894), (24, 0.12402809)]"
9,9,12.0,0.3742324709892273,"[(3, 0.03357815), (12, 0.37423247), (22, 0.04175126), (23, 0.26101977), (25, 0.26558405), (28, 0.014297074)]"
10,10,26.0,0.4930248260498047,"[(3, 0.11268162), (4, 0.3833085), (26, 0.49302483)]"
11,11,13.0,0.7484205961227417,"[(4, 0.19123942), (13, 0.7484206), (28, 0.033888627), (29, 0.013858288)]"
12,12,24.0,0.9897146224975586,"[(24, 0.9897146)]"
13,13,24.0,0.6193303465843201,"[(0, 0.085162506), (2, 0.035299614), (10, 0.19163813), (17, 0.04908611), (24, 0.61933035), (25, 0.011133084)]"
14,14,27.0,0.591626763343811,"[(5, 0.107135616), (9, 0.011113597), (17, 0.011957288), (19, 0.0761143), (22, 0.02698963), (27, 0.59162676), (28, 0.16901907)]"
15,15,29.0,0.6102185845375061,"[(28, 0.38089025), (29, 0.6102186)]"
16,16,23.0,0.5300041437149048,"[(0, 0.14404655), (12, 0.153282), (19, 0.06530229), (21, 0.024885839), (22, 0.021600682), (23, 0.53000414), (25, 0.022815634), (28, 0.033064995)]"
17,17,19.0,0.5378264784812927,"[(1, 0.08447668), (11, 0.044561036), (19, 0.5378265), (20, 0.056067303), (23, 0.2462544), (25, 0.024355007)]"
18,18,12.0,0.330148845911026,"[(9, 0.020970222), (12, 0.33014885), (21, 0.053655025), (25, 0.32828188), (27, 0.25367978)]"
19,19,5.0,0.3794378936290741,"[(0, 0.1841323), (5, 0.3794379), (10, 0.19974199), (17, 0.0319684), (24, 0.18731612)]"
20,20,0.0,0.6090272068977356,"[(0, 0.6090272), (5, 0.021671033), (6, 0.010189499), (7, 0.013824536), (10, 0.03158573), (16, 0.21919972), (21, 0.060777906), (22, 0.013574581), (24, 0.01281483)]"
21,21,13.0,0.9923834800720215,"[(13, 0.9923835)]"
22,22,13.0,0.6512936949729919,"[(2, 0.08278791), (13, 0.6512937), (26, 0.25749597)]"
23,23,25.0,0.4896661937236786,"[(22, 0.2584665), (24, 0.016494062), (25, 0.48966622), (26, 0.22222029)]"
24,24,10.0,0.41476452350616455,"[(2, 0.03313783), (3, 0.051911797), (10, 0.41476452), (13, 0.27661142), (19, 0.08574461), (20, 0.061270438), (23, 0.06466459)]"
25,25,13.0,0.9465298056602478,"[(2, 0.047367696), (13, 0.9465298)]"
26,26,9.0,0.6335857510566711,"[(0, 0.19648643), (9, 0.63358575), (24, 0.15323594)]"
27,27,0.0,0.7154278755187988,"[(0, 0.7154279), (9, 0.034112923), (13, 0.076568104), (22, 0.05840077), (26, 0.10225436)]"
28,28,2.0,0.390733540058136,"[(2, 0.39073354), (9, 0.13838571), (15, 0.17502373), (24, 0.2723746)]"
29,29,24.0,0.49669456481933594,"[(3, 0.3156178), (7, 0.07316743), (22, 0.040548697), (24, 0.49669456), (25, 0.017542668), (26, 0.04410789)]"
30,30,0.0,0.6792376637458801,"[(0, 0.67923766), (3, 0.08621865), (14, 0.143503), (16, 0.012478364), (21, 0.07124631)]"
31,31,10.0,0.9859861731529236,"[(10, 0.9859862)]"
32,32,19.0,0.5294125080108643,"[(0, 0.014495663), (2, 0.026889736), (5, 0.055291917), (12, 0.08183756), (17, 0.09553263), (19, 0.5294125), (22, 0.18907818)]"
33,33,26.0,0.3370930850505829,"[(0, 0.33700168), (16, 0.023790767), (21, 0.13856532), (23, 0.014982388), (24, 0.13359465), (26, 0.33709309)]"
34,34,16.0,0.4726017415523529,"[(3, 0.062099118), (5, 0.0593653), (13, 0.2987912), (16, 0.47260174), (19, 0.032313846), (20, 0.017389296), (23, 0.04461236)]"
35,35,22.0,0.7024298906326294,"[(21, 0.04110731), (22, 0.7024299), (27, 0.143509), (29, 0.1061159)]"
36,36,22.0,0.3968033790588379,"[(3, 0.1324279), (12, 0.26797506), (15, 0.011081688), (16, 0.03563438), (22, 0.39680338), (26, 0.1480472)]"
37,37,19.0,0.6400348544120789,"[(0, 0.023772053), (3, 0.08030367), (7, 0.04612439), (10, 0.06090474), (12, 0.07799037), (19, 0.64003485), (27, 0.06353817)]"
38,38,12.0,0.4563319683074951,"[(2, 0.12192173), (12, 0.45633197), (22, 0.111196004), (25, 0.2960506)]"
39,39,28.0,0.2225424200296402,"[(1, 0.15524262), (4, 0.17384128), (13, 0.09737474), (17, 0.18079963), (22, 0.05983725), (24, 0.10152922), (28, 0.2225424)]"
40,40,5.0,0.4766492545604706,"[(0, 0.33882877), (5, 0.47664928), (20, 0.015445143), (28, 0.15819645)]"
41,41,29.0,0.2876189351081848,"[(0, 0.22411078), (9, 0.1697885), (24, 0.03682696), (25, 0.2653042), (28, 0.010372002), (29, 0.28761894)]"
42,42,19.0,0.6505155563354492,"[(13, 0.044765268), (17, 0.059488393), (19, 0.65051556), (24, 0.23423786)]"
43,43,12.0,0.5390793085098267,"[(3, 0.0148650715), (4, 0.10223323), (12, 0.5390793), (25, 0.10314813), (28, 0.2299729)]"
44,44,14.0,0.5496513843536377,"[(0, 0.1670711), (5, 0.043860584), (9, 0.1483852), (13, 0.015727632), (14, 0.5496514), (21, 0.013032326), (26, 0.055639043)]"
45,45,9.0,0.5519731640815735,"[(5, 0.05713411), (9, 0.55197316), (14, 0.04849533), (15, 0.10554192), (19, 0.13428308), (27, 0.0374122), (28, 0.059017777)]"
46,46,11.0,0.5426796674728394,"[(3, 0.068630904), (5, 0.045197703), (11, 0.54267967), (13, 0.035052557), (21, 0.29787993)]"
47,47,10.0,0.8993178606033325,"[(10, 0.89931786), (19, 0.09296353)]"
48,48,13.0,0.8938392400741577,"[(1, 0.08021252), (13, 0.89383924), (15, 0.014083401)]"
49,49,19.0,0.34354695677757263,"[(5, 0.07220764), (10, 0.1936986), (12, 0.06527988), (17, 0.26705474), (19, 0.34354696), (23, 0.052972987)]"
50,50,9.0,0.8926042318344116,"[(5, 0.09920636), (9, 0.8926042)]"
51,51,5.0,0.8817583322525024,"[(0, 0.022315593), (5, 0.8817583), (14, 0.0100727435), (16, 0.020981995), (20, 0.035835862), (24, 0.012201953)]"
52,52,22.0,0.3273596167564392,"[(2, 0.19927149), (12, 0.20013398), (22, 0.32735962), (29, 0.26519364)]"
53,53,25.0,0.5117223262786865,"[(0, 0.020895524), (2, 0.055158097), (6, 0.017192561), (9, 0.016988276), (19, 0.13422152), (25, 0.5117223), (26, 0.026798474), (27, 0.023196368), (29, 0.18888944)]"
54,54,9.0,0.8744508624076843,"[(9, 0.8744508), (14, 0.068346776), (22, 0.04019088)]"
55,55,12.0,0.6613975763320923,"[(2, 0.04898203), (10, 0.03632476), (11, 0.019306768), (12, 0.6613976), (18, 0.03628129), (19, 0.048089296), (22, 0.12243595), (28, 0.018935174)]"
56,56,3.0,0.3664619028568268,"[(3, 0.3664619), (9, 0.16564406), (17, 0.23789923), (27, 0.032246623), (28, 0.17630216)]"
57,57,5.0,0.9211089015007019,"[(0, 0.017019961), (5, 0.92110884), (8, 0.011020071), (12, 0.042967036)]"
