Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Shin J.W., Oh J.H., Lee S.M., Lee S.E.","56645403600;57193057094;56333626100;55857982000;","CAN FD controller for in-vehicle system",2016,"ISOCC 2016 - International SoC Design Conference: Smart SoC for Intelligent Things",,,"7799870","227","228",,6,"10.1109/ISOCC.2016.7799870","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010460391&doi=10.1109%2fISOCC.2016.7799870&partnerID=40&md5=1cdc018fc1c24266d7c8ece6c868e6e6","Dept. of Electronic Engineering, Seoul National University of Science and Technology, Seoul, South Korea","Shin, J.W., Dept. of Electronic Engineering, Seoul National University of Science and Technology, Seoul, South Korea; Oh, J.H., Dept. of Electronic Engineering, Seoul National University of Science and Technology, Seoul, South Korea; Lee, S.M., Dept. of Electronic Engineering, Seoul National University of Science and Technology, Seoul, South Korea; Lee, S.E., Dept. of Electronic Engineering, Seoul National University of Science and Technology, Seoul, South Korea","In this paper, we propose a Controller Area Network with Flexible Data rate (CAN-FD) controller for communication network in automobile. The CAN FD is proper network protocol for in-vehicle and embedded communication which desires high reliability and data rate. We introduce our CAN FD controller which supports variable data length and faster data rate. The CAN FD controller receives data from virtual Electronic Control Unit (ECU) through Serial Peripheral Interface (SPI) and transmits the data to the system BUS. Our prototype has integrated along with processor for efficient control of the CAN FD communication. © 2016 IEEE.","CAN-FD; Embedded network; In-vehicle network","Control system synthesis; Control systems; Finite difference method; Network protocols; Vehicles; CAN-FD; Controller area network; Efficient control; Electronic control units; Embedded network; In-vehicle networks; In-vehicle systems; Serial peripheral interface; Controllers",Conference Paper,"Final","",Scopus,2-s2.0-85010460391
"Kim J.K., Gwon O.S., Lee S.E.","57193067620;56646363300;55857982000;","Design of an area-efficient hardware filter for embedded system",2016,"ISOCC 2016 - International SoC Design Conference: Smart SoC for Intelligent Things",,,"7799871","229","230",,2,"10.1109/ISOCC.2016.7799871","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010434955&doi=10.1109%2fISOCC.2016.7799871&partnerID=40&md5=79928962868c91d36a1b7162ec558e21","Dept. of Electronic Engineering, Seoul National University of Science and Technology, Seoul, South Korea","Kim, J.K., Dept. of Electronic Engineering, Seoul National University of Science and Technology, Seoul, South Korea; Gwon, O.S., Dept. of Electronic Engineering, Seoul National University of Science and Technology, Seoul, South Korea; Lee, S.E., Dept. of Electronic Engineering, Seoul National University of Science and Technology, Seoul, South Korea","In this paper, we propose an area-efficient hardware accelerated filter for embedded system. In order to minimize the area of hardware filter, the proposed filter architecture has a single multiplier. The filter operates by reusing the multiplier. In addition, we optimize the quantization bit length by analyzing the relationship between area and preciseness according to the quantization bit length. We verify the performance of the proposed filter by measuring frequency response in verification environment. © 2016 IEEE.","Area-efficiency; Hardware filter; Quantization bit","Bandpass filters; Embedded systems; Frequency multiplying circuits; Frequency response; Area efficiency; Area-Efficient; Bit lengths; Filter architecture; Hardware filters; Hardware-accelerated; Measuring frequency; Verification environment; Hardware",Conference Paper,"Final","",Scopus,2-s2.0-85010434955
"Kim H.S., Cha H.-K.","57193073064;14422204600;","A low-power capacitive-feedback CMOS neural recording amplifier for biomedical applications",2016,"ISOCC 2016 - International SoC Design Conference: Smart SoC for Intelligent Things",,,"7799786","279","280",,5,"10.1109/ISOCC.2016.7799786","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010382711&doi=10.1109%2fISOCC.2016.7799786&partnerID=40&md5=539c2ae854453e82213c1b49bb5bc26d","Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea","Kim, H.S., Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea; Cha, H.-K., Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea","A low-power capacitive-feedback amplifier IC for neural SoCs in medical implant devices using 0.18μm CMOS technology is presented. The proposed neural amplifier, which is based on the source-degenerated folded-cascoded OTA, achieves 40 dB of voltage gain and integrated input-referred noise of 4.3 μVrms in the range of 1 Hz to 10 kHz while dissipating 2.2 μA of current from a 1 V supply. The designed amplifier IC achieves the noise efficiency factor of 3.07 and occupies 0.136 mm2 of area. © 2016 IEEE.","Capacitive-feedback; Foldedcascode operational transconductance amplifier; Neural amplifier","Amplifiers (electronic); CMOS integrated circuits; Feedback; Feedback amplifiers; Medical applications; Biomedical applications; Capacitive feedback; CMOS technology; Folded-cascode; Medical implant devices; Neural recordings; Noise efficiency factors; Voltage gain; Operational amplifiers",Conference Paper,"Final","",Scopus,2-s2.0-85010382711
"Kim H.S., Cha H.-K.","57193073064;14422204600;","A low-power, low-noise neural recording amplifier for implantable biomedical devices",2016,"ISOCC 2016 - International SoC Design Conference: Smart SoC for Intelligent Things",,,"7799784","275","276",,3,"10.1109/ISOCC.2016.7799784","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010379667&doi=10.1109%2fISOCC.2016.7799784&partnerID=40&md5=0932dc1b99c7af66653200d67c64ae08","Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea","Kim, H.S., Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea; Cha, H.-K., Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea","This paper presents a low power and low noise neural amplifier IC for processing both action potential and local field potential signals in neural implant devices. Based on a capacitivefeedback topology, the core operational transconductance amplifier utilizes a two-stage structure with current buffer achieving wide bandwidth, large output swing, and small area. The proposed neural amplifier is designed using 0.18μm CMOS process and achieves 46 dB gain, a bandwidth of 0.9 Hz-13.8 kHz, and integrated input-referred noise of 5 μVrms in the range of 1 Hz to 10 kHz. The noise efficiency factor of the designed neural amplifier is 2.6 and consumes 2 μA of current from a 1.2 V supply with an area of 0.136 mm2. © 2016 IEEE.","Capacitive feedback; Neural amplifier; Neural recorder; Operational transconductance amplifier","Bandwidth; Buffer amplifiers; Electrophysiology; Operational amplifiers; Transconductance; Action potentials; Capacitive feedback; Implantable biomedical devices; Local field potentials; Low-noise neural recordings; Neural implants; Neural recorder; Noise efficiency factors; Amplifiers (electronic)",Conference Paper,"Final","",Scopus,2-s2.0-85010379667
"Dai L., Kim C., Leibovich A.K.","57190073260;57226847451;6701753657;","Fragmentation of a jet with small radius",2016,"Physical Review D","94","11","114023","","",,54,"10.1103/PhysRevD.94.114023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012005931&doi=10.1103%2fPhysRevD.94.114023&partnerID=40&md5=1af050e4554fc243f4c71c23ee1adbfc","Pittsburgh Particle Physics Astrophysics and Cosmology Center (PITT PACC), Department of Physics and Astronomy, University of Pittsburgh, Pittsburgh, PA  15260, United States; Institute of Convergence Fundamental Studies, School of Liberal Arts, Seoul National University of Science and Technology, Seoul, 01811, South Korea","Dai, L., Pittsburgh Particle Physics Astrophysics and Cosmology Center (PITT PACC), Department of Physics and Astronomy, University of Pittsburgh, Pittsburgh, PA  15260, United States; Kim, C., Institute of Convergence Fundamental Studies, School of Liberal Arts, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Leibovich, A.K., Pittsburgh Particle Physics Astrophysics and Cosmology Center (PITT PACC), Department of Physics and Astronomy, University of Pittsburgh, Pittsburgh, PA  15260, United States","In this paper, we consider the fragmentation of a parton into a jet with small jet radius R. Perturbatively, logarithms of R can appear, which for narrow jets can lead to large corrections. Using soft-collinear effective theory, we introduce the fragmentation function to a jet (FFJ), which describes the fragmentation of a parton into a jet. We discuss how these objects are related to the standard jet functions. Calculating the FFJ to next-to-leading order, we show that these objects satisfy the standard Dokshitzer-Gribov-Lipatov-Altarelli-Parisi evolution equations, with a natural scale that depends upon R. By using the standard renormalization group evolution, we can therefore resum logarithms of R. We further use the soft-collinear effective theory to prove a factorization theorem where the FFJs naturally appear, for the fragmentation of a hadron within a jet with small R. Finally, we also show how this formalism can be used to resum the ratio of jet radii for a subjet to be emitted from within a fat jet. © 2016 American Physical Society.",,,Article,"Final","",Scopus,2-s2.0-85012005931
"Shin Y., Kim G., Lee G.","57192309930;55117388700;7404852955;","Regularizing RMC images for locating mid-range point sources",2016,"Journal of Instrumentation","11","12","C12007","","",,5,"10.1088/1748-0221/11/12/C12007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008182966&doi=10.1088%2f1748-0221%2f11%2f12%2fC12007&partnerID=40&md5=249259b003c69749ed3186ceb2fe3c9b","Department of Electronic and IT Media Engineering, Seoul National University of Science and Technology, South Korea; Department of Nuclear Engineering, Sejong University, South Korea","Shin, Y., Department of Electronic and IT Media Engineering, Seoul National University of Science and Technology, South Korea; Kim, G., Department of Nuclear Engineering, Sejong University, South Korea; Lee, G., Department of Electronic and IT Media Engineering, Seoul National University of Science and Technology, South Korea","A rotating modulation collimator (RMC) is a useful technique for sensing remote radiation sources. Recently, Kowash and his colleagues presented an image reconstruction algorithm to detect mid-range point sources with the RMC. However, their algorithm tends to produce undesirable artifacts in the reconstructed images. In this paper, we propose an improved image reconstruction algorithm using a regularization method. Our algorithm reduces the artifacts by increasing the sparsity during the reconstruction. We demonstrate the proposed algorithm on simulation data from RMC system model and MCNP data. © 2016 IOP Publishing Ltd and Sissa Medialab srl.","Data processing methods; Image filtering; Inspection with gamma rays; Search for radioactive and fissile materials","Data handling; Gamma rays; Image processing; Data processing methods; Fissile materials; Image filtering; Image reconstruction algorithm; Radiation source; Reconstructed image; Regularization methods; Rotating modulations; Image reconstruction",Conference Paper,"Final","",Scopus,2-s2.0-85008182966
"Choi S.J., Yim T., Cho W., Mun J., Jo Y.N., Kim K.J., Jeong G., Kim T.-H., Kim Y.-J.","57207282110;35333366900;12244510200;14028784900;36097876400;36098206900;7102665100;57050554700;57222517494;","Rosin-Embedded Poly(acrylic acid) Binder for Silicon/Graphite Negative Electrode",2016,"ACS Sustainable Chemistry and Engineering","4","12",,"6362","6370",,19,"10.1021/acssuschemeng.6b00920","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002550543&doi=10.1021%2facssuschemeng.6b00920&partnerID=40&md5=748ef245845cc21cbb64ff4c80ae742f","Advanced Batteries Research Center, Korea Electronics Technology Institute, 68 Yatap-dong, Bundang-gu, Seongnam, Gyeonggi-do, 463-816, South Korea; Department of Chemistry, Incheon National University, Academy-ro 119, Yeonsu-gu, Incheon, 460-772, South Korea; Department of Energy and Chemical Engineering, Incheon National University, Academy-ro 119, Yeonsu-gu, Incheon, 460-772, South Korea; Graduate School of Energy and Environment, Seoul National University of Science and Technology, 232 Gongneung ro, Nowon-gu, Seoul, 139-743, South Korea; SKKU Advanced Institute of Nanotechnology (SAINT), Sungkyunkwan University, Gyeonggi-do, 16419, South Korea","Choi, S.J., Advanced Batteries Research Center, Korea Electronics Technology Institute, 68 Yatap-dong, Bundang-gu, Seongnam, Gyeonggi-do, 463-816, South Korea; Yim, T., Department of Chemistry, Incheon National University, Academy-ro 119, Yeonsu-gu, Incheon, 460-772, South Korea; Cho, W., Advanced Batteries Research Center, Korea Electronics Technology Institute, 68 Yatap-dong, Bundang-gu, Seongnam, Gyeonggi-do, 463-816, South Korea; Mun, J., Department of Energy and Chemical Engineering, Incheon National University, Academy-ro 119, Yeonsu-gu, Incheon, 460-772, South Korea; Jo, Y.N., Advanced Batteries Research Center, Korea Electronics Technology Institute, 68 Yatap-dong, Bundang-gu, Seongnam, Gyeonggi-do, 463-816, South Korea; Kim, K.J., Graduate School of Energy and Environment, Seoul National University of Science and Technology, 232 Gongneung ro, Nowon-gu, Seoul, 139-743, South Korea; Jeong, G., Advanced Batteries Research Center, Korea Electronics Technology Institute, 68 Yatap-dong, Bundang-gu, Seongnam, Gyeonggi-do, 463-816, South Korea; Kim, T.-H., Department of Chemistry, Incheon National University, Academy-ro 119, Yeonsu-gu, Incheon, 460-772, South Korea; Kim, Y.-J., SKKU Advanced Institute of Nanotechnology (SAINT), Sungkyunkwan University, Gyeonggi-do, 16419, South Korea","We propose the use of a rosin-embedded poly(acrylic acid) binder, PAA-Rosin, to improve the cycling performance of silicon/graphite composites in lithium-ion batteries. Rosin, which is a natural product derived from pine trees, is chemically bonded with a rigid PAA polymer, which affords additional adhesion and elasticity of the PAA backbone, resulting in an effective binder with optimal properties. The hybridization of PAA-Rosin is achieved through an efficient one-step process, and the chemical structures of the components are systematically confirmed. In terms of the cycling performance, the cell based on PAA-Rosin shows excellent specific capacity retention (65.2%) with superior utilization of silicon/graphite composites even after 200 cycles. In addition, the PAA-Rosin electrode exhibits excellent specific capacity as well as remarkable capacity retention in bending tests. We demonstrate that the remarkable electrochemical characteristics of PAA-Rosin can be attributed to improved electrode uniformity, which results in the electronic networks remaining intact and minimizes electrode fatigue related to internal crack formation, delamination, and pulverization. © 2016 American Chemical Society.","Binder; Lithium-ion battery; Poly(acrylic acid); Rosin; Silicon anode","Bending tests; Binders; Bins; Carboxylic acids; Electrodes; Failure (mechanical); Lithium alloys; Lithium compounds; Lithium-ion batteries; Organic acids; Silicon; Cycling performance; Electrochemical characteristics; Internal crack formation; Poly(acrylic acid ); Rosin; Silicon anode; Silicon/graphite composites; Specific capacities; Electrochemical electrodes",Article,"Final","",Scopus,2-s2.0-85002550543
"Choi S., Park J.H.","55646682100;55665406600;","Minimum interference channel assignment algorithm for multicast in a wireless mesh network",2016,"Sensors (Switzerland)","16","12","2056","","",,4,"10.3390/s16122056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85004008330&doi=10.3390%2fs16122056&partnerID=40&md5=a17469597f91b2ba865ebdbd73f1cf86","Department of Computer Science, Swaziland Christian University, P.O. Box A624 Swazi Plaza, Mbabane, H101, Swaziland; Department of Computer Science & Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea","Choi, S., Department of Computer Science, Swaziland Christian University, P.O. Box A624 Swazi Plaza, Mbabane, H101, Swaziland; Park, J.H., Department of Computer Science & Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea","Wireless mesh networks (WMNs) have been considered as one of the key technologies for the configuration of wireless machines since they emerged. In a WMN, wireless routers provide multi-hop wireless connectivity between hosts in the network and also allow them to access the Internet via gateway devices. Wireless routers are typically equipped with multiple radios operating on different channels to increase network throughput. Multicast is a form of communication that delivers data from a source to a set of destinations simultaneously. It is used in a number of applications, such as distributed games, distance education, and video conferencing. In this study, we address a channel assignment problem for multicast in multi-radio multi-channel WMNs. In a multi-radio multi-channel WMN, two nearby nodes will interfere with each other and cause a throughput decrease when they transmit on the same channel. Thus, an important goal for multicast channel assignment is to reduce the interference among networked devices. We have developed a minimum interference channel assignment (MICA) algorithm for multicast that accurately models the interference relationship between pairs of multicast tree nodes using the concept of the interference factor and assigns channels to tree nodes to minimize interference within the multicast tree. Simulation results show that MICA achieves higher throughput and lower end-to-end packet delay compared with an existing channel assignment algorithm named multi-channel multicast (MCM). In addition, MICA achieves much lower throughput variation among the destination nodes than MCM. © 2016 by the authors; licensee MDPI, Basel, Switzerland.","Channel assignment; Multi-radio multi-channel wireless mesh network; Multicast communication; Wireless mesh network","Combinatorial optimization; Distance education; Forestry; Gateways (computer networks); Mesh generation; Mica; Mobile telecommunication systems; Multicasting; Routers; Signal interference; Silicate minerals; Throughput; Trees (mathematics); Video conferencing; Wireless mesh networks (WMN); Channel Assignment; Channel assignment problem; Interference factor; Minimum interference; Multi radio multi channels; Multicast communication; Wireless connectivities; Wireless Mesh networks (WMNs); MESH networking",Article,"Final","",Scopus,2-s2.0-85004008330
"Kim J., Chung K., Lee H., Bae B., Cho E.-B.","57191681635;57195461654;57209160207;7007174520;7202649980;","Mesoporous ceria-silica/poly(arylene ether sulfone) composite membranes for durability of fuel cell electrolyte membrane",2016,"Microporous and Mesoporous Materials","236",,,"292","300",,17,"10.1016/j.micromeso.2016.01.049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027942386&doi=10.1016%2fj.micromeso.2016.01.049&partnerID=40&md5=a06c4af3f988ea38339a3843fea4dfb6","Department of Fine Chemistry, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Fuel Cell Laboratory, Korea Institute of Energy Research, Daejeon, 34129, South Korea; Renewable Energy Engineering, University of Science and Technology (UST), Daejeon, South Korea","Kim, J., Department of Fine Chemistry, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Chung, K., Department of Fine Chemistry, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Lee, H., Fuel Cell Laboratory, Korea Institute of Energy Research, Daejeon, 34129, South Korea; Bae, B., Fuel Cell Laboratory, Korea Institute of Energy Research, Daejeon, 34129, South Korea, Renewable Energy Engineering, University of Science and Technology (UST), Daejeon, South Korea; Cho, E.-B., Department of Fine Chemistry, Seoul National University of Science and Technology, Seoul, 01811, South Korea","Sulfonated poly(arylene ether sulfone) (sPES)/mesoporous ceria-silica electrolyte composite membranes were prepared using a solvent casting method. The composite membranes with two components were prepared well on glass dish using dimethyl sulfoxide (DMSO) as well as N,N-dimethyl acetamide (DMAc) solvents, at various concentrations from 2.5 up to 30 wt% of the mesoporous ceria-silica powder. The degree of sulfonation was 50% for sPES and the mesoporous ceria-silica material had a 2D hexagonal (p6mm) mesostructure with the Ce/Si ratio of 0.5 and the sulfur atoms of 3.1 mmol/g in sulfonic acid groups. The oxidation stability against hydroxyl radicals ([rad]OH) was investigated both with Fenton's test and the hydrogen peroxide exposure. Hydrogen peroxide vapor exposure experiments was developed to screen the oxidation stability in a short time under high temperature and low relative humidity conditions, which is more similar to actual fuel cell system. The composite membranes exhibited higher oxidation stability than a pristine sPES membrane. However, the proton conductivity decreased with the incorporation of mesoprous ceria-silica, which should be resolved through further study using combination of the polymer matrix with different structure and the modification of mesoporous ceria-silica. © 2016 Elsevier Inc.","Fuel cell electrolyte membrane; Hydroxyl radical; Mesoporous ceria-silica; Oxidation stability; Sulfonated poly(arylene ether sulfone)","Dimethyl sulfoxide; Electrolytes; Ethers; Fuel cells; Hydrogen peroxide; Ion exchange membranes; Membranes; Mesoporous materials; Organic solvents; Oxidation; Peroxides; Silica; Stability; Fuel cell electrolytes; Hydroxyl radicals; Mesoporous cerias; Oxidation stability; Sulfonated poly(arylene ether sulfone); Composite membranes",Article,"Final","",Scopus,2-s2.0-85027942386
"Yun M.H., Yoo K.S.","57193745139;8937788500;","Prediction of reaction performance of pentafluoropropene hydrogenation for environmentally friendly refrigerant production",2016,"Applied Chemistry for Engineering","27","6",,"573","576",,,"10.14478/ace.2016.1072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018279637&doi=10.14478%2face.2016.1072&partnerID=40&md5=c4210cef8e937f13e1c5f164664bb86d","Department of Chemical & Biomolecular Engineering, Seoul National University of Science & Technology, 232 Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea","Yun, M.H., Department of Chemical & Biomolecular Engineering, Seoul National University of Science & Technology, 232 Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea; Yoo, K.S., Department of Chemical & Biomolecular Engineering, Seoul National University of Science & Technology, 232 Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea","In this study, hydrogenation of 1,2,3,3,3-pentafluoropropene was performed to produce R-1234yf as an environmentally friendly refrigerant. Palladium based carbon was prepared as a catalyst in the hydrogenation reaction. The effect of reaction conditions including the weight hourly space velocity (WHSV), reaction temperature and ratio of hydrogen and reactants on the catalytic performance was investigated. Under the identical reaction conditions, the effect of WHSV on the main product selectivity was insignificant, but a high reaction temperature was essential for the good product selectivity. A high product selectivity was also obtained when the ratio of hydrogen and reactants kept less than 1.5. Moreover, a correlation model involving the statistical approach to predict product yields was developed. © 2016 The Korean Society of Industrial and Engineering Chemistry. All rights reserved.","Alternative refrigerant; Correlation model; Pentafluoropropene hydrogenation",,Article,"Final","",Scopus,2-s2.0-85018279637
