Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Park D., Jung J., Kwak K., Kim J., Chung W.K.","55273031700;57193996010;55338675700;56012430000;57204958534;","Received Signal Strength of Electromagnetic Waves Aided Integrated Inertial Navigation System for Underwater Vehicle",2018,"IEEE International Conference on Intelligent Robots and Systems",,, 8593675,"1870","1876",,3,"10.1109/IROS.2018.8593675","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062975866&doi=10.1109%2fIROS.2018.8593675&partnerID=40&md5=266ff526e457bdea0654040fe79637c9","Korea Institute of RObot Convergence(KIRO), Pohang, South Korea; Department of Mechanical Engineering, Pohang University of Science and Technology(POSTECH), Pohang, South Korea; Department of Mechanical and Automotive Engineering, Seoul National University of Science and Technology(SEOULTECH), Seoul, South Korea","Park, D., Korea Institute of RObot Convergence(KIRO), Pohang, South Korea; Jung, J., Department of Mechanical Engineering, Pohang University of Science and Technology(POSTECH), Pohang, South Korea; Kwak, K., Department of Mechanical and Automotive Engineering, Seoul National University of Science and Technology(SEOULTECH), Seoul, South Korea; Kim, J., Department of Mechanical and Automotive Engineering, Seoul National University of Science and Technology(SEOULTECH), Seoul, South Korea; Chung, W.K., Department of Mechanical Engineering, Pohang University of Science and Technology(POSTECH), Pohang, South Korea","Sensory information from an Earth-fixed reference is necessary to guarantee a high localization accuracy of an unmanned underwater vehicle (UUV). However, the implementation of these sensors in an underwater environment is challenging because of signal uncertainties and strong signal attenuation. In this paper, we propose an underwater localization scheme with a sensor fusion of inertial navigation system (INS) and received signal strength of electromagnetic (EM) waves sensors. In the proposed sensor-fusion-based localization scheme, the UUV predicts its location by using INS based on dead-reckoning and corrects the predicted position by Kalman filter using EM waves sensor information when the UUV receives the signals of EM waves sensors in underwater wireless sensor networks. The proposed scheme enables localization with high accuracy and high sampling rate during a long-term task. The results of an experiment performed in a basin environment shows the feasibility of the proposed scheme. The scheme achieved reliable localization accuracy by comparing the pre-measured ground-truth position and long-term navigation. These results show the feasibility of exploiting EM waves attenuation as Earth-fixed reference sensors. © 2018 IEEE.",,"Air navigation; Electromagnetic waves; Inertial navigation systems; Intelligent robots; Navigation; Underwater acoustics; Wireless sensor networks; High sampling rates; Inertial navigation systems (INS); Localization accuracy; Localization schemes; Received signal strength; Underwater environments; Underwater localization; Underwater wireless sensor networks; Unmanned underwater vehicles",Conference Paper,"Final","",Scopus,2-s2.0-85062975866
"Yim S., Baek S.-M., Jung G.-P., Cho K.-J.","57204061415;57192709642;55539985500;7403956407;","An Omnidirectional Jumper with Expanded Movability via Steering, Self-Righting and Take-off Angle Adjustment",2018,"IEEE International Conference on Intelligent Robots and Systems",,, 8594372,"416","421",,1,"10.1109/IROS.2018.8594372","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062966682&doi=10.1109%2fIROS.2018.8594372&partnerID=40&md5=172689f5bf9f6d2f400c12032046ec09","Biorobotics Laboratory, School of Mechanical Engineering, Seoul National University, Seoul, South Korea; Bio-inspired Design Laboratory, School of Mechanical and Automotive Engineering, Seoul National University of Science and Technology, Seoul, South Korea","Yim, S., Biorobotics Laboratory, School of Mechanical Engineering, Seoul National University, Seoul, South Korea; Baek, S.-M., Biorobotics Laboratory, School of Mechanical Engineering, Seoul National University, Seoul, South Korea; Jung, G.-P., Bio-inspired Design Laboratory, School of Mechanical and Automotive Engineering, Seoul National University of Science and Technology, Seoul, South Korea; Cho, K.-J., Biorobotics Laboratory, School of Mechanical Engineering, Seoul National University, Seoul, South Korea","In this paper, we propose an omnidirectional jumper with expanded locomotion capabilities. The mechanisms for four functions - jumping, steering, self-righting and take-off angle adjustment - are designed using only two motors to maximize the jumping performance. Jumping uses the modified active triggering mechanism with one motor. Steering shares this motor and uses the wheel touching the ground. The take-off angle is adjusted by changing the angle between the body and the foot using another motor. Self-righting is possible by utilizing combinations of the movements that occur in the energy storing and angle adjustment processes. With these four functions, the robot is capable of jumping in all directions and can jump anywhere in between the maximum height and maximum distance. It can also jump multiple times by self-righting. The robot, with a mass of 64.4 g, jumps up to 113 cm in vertical height, and 170 cm in horizontal distance. This robot can be deployed to explore various environments. Moreover, the design method to implement more functions than the number of motors can be applied to design other small-scale robots. © 2018 IEEE.",,"Machine design; Angle adjustments; Design method; Maximum distance; Self-righting; Small scale; Take-off angle; Triggering mechanism; Two-motor; Intelligent robots",Conference Paper,"Final","",Scopus,2-s2.0-85062966682
"Tausif A., Choi S.","57204819276;7408119103;","Single-stage Differential Current-fed Isolated AC-DC Converter for Electrolytic Capacitor-less OBC with DC Charging",2018,"Proceedings - 2018 IEEE International Power Electronics and Application Conference and Exposition, PEAC 2018",,, 8590646,"","",,2,"10.1109/PEAC.2018.8590646","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060997096&doi=10.1109%2fPEAC.2018.8590646&partnerID=40&md5=5ed08a09ff04798eba06e6826f816848","Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea","Tausif, A., Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea; Choi, S., Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea","In this paper a single-stage single-phase differential Current-fed isolated AC-DC converter is proposed. This converter eliminates the requirement to use bulky electrolytic capacitor from the system and at the same time provides DC charging by employing the AC Power Decoupling waveform control method. All the switches of the converter achieve ZVS turn on during half line cycle and all diodes achieve ZCS turn off during entire line cycle. A conventional controller is implemented for PFC control and output regulation, whereas a power decoupling controller is added to compensate 2 nd harmonic ripple power. In addition, an interleaving technique is applied to increase the power range of the converter and reduce the input inductor size. In the end simulation verification and experimental results are obtained. © 2018 IEEE.","current-fed Isolated ACDC; Differential converter; electrolytic capacitor-less; OBC; power decoupling; single stage system","Capacitors; Controllers; Power control; Power electronics; Rectifying circuits; Current fed; Differential converter; Electrolytic capacitor-less; Power decoupling; Single stage system; Electrolytic capacitors",Conference Paper,"Final","",Scopus,2-s2.0-85060997096
"An G.-H., Kim H., Ahn H.-J.","42560954400;57204121429;7202928418;","Excavated carbon with embedded Si nanoparticles for ultrafast lithium storage",2018,"Journal of Industrial and Engineering Chemistry","68",,,"146","152",,8,"10.1016/j.jiec.2018.07.039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051377484&doi=10.1016%2fj.jiec.2018.07.039&partnerID=40&md5=630cdccde90f84fec524790980f9104d","Program of Materials Science and Engineering, Convergence Institute of Biomedical Engineering and Biomaterials, Seoul, 139-743, South Korea; Department of Materials Science and Engineering, Seoul National University of Science and Technology, Seoul, 139-743, South Korea","An, G.-H., Program of Materials Science and Engineering, Convergence Institute of Biomedical Engineering and Biomaterials, Seoul, 139-743, South Korea; Kim, H., Department of Materials Science and Engineering, Seoul National University of Science and Technology, Seoul, 139-743, South Korea; Ahn, H.-J., Program of Materials Science and Engineering, Convergence Institute of Biomedical Engineering and Biomaterials, Seoul, 139-743, South Korea, Department of Materials Science and Engineering, Seoul National University of Science and Technology, Seoul, 139-743, South Korea","Due to their excellent mechanical durability and high electrical conductivity, carbon and silicon composites are potentially suitable anode materials for Li-ion batteries with high capacity and long lifespan. Nevertheless, the limitations of the composites include their poor ionic diffusion at high current densities during cycling, which leads to low ultrafast performance. In the present study, seeking to improve the ionic diffusion using hydrothermal method, electrospinning, and carbonization, we demonstrate the unique design of excavated carbon and silicon composites (EC/Si). The outstanding energy storage performance of EC/Si electrode provides a discharge specific capacity, impressive rate performance, and ultrafast cycling stability. © 2018 The Korean Society of Industrial and Engineering Chemistry","Excavated carbon; Li-ion battery; Mesoporous structure; Silicon; Ultrafast","Anodes; Carbon; Carbonization; Diffusion in solids; Silicon; Discharge specific capacity; High current densities; High electrical conductivity; Hydrothermal methods; Mechanical durability; Mesoporous structures; Storage performance; Ultra-fast; Lithium-ion batteries",Article,"Final","",Scopus,2-s2.0-85051377484
"Lee H., Kim J.-H., Wu G., Lee H.-M., Kim J., Kwon D., Yang S., Kim C.-K., Yoon H.","56104014600;56531561100;55319938000;57214767108;57204473263;57225729613;55738192600;35422412200;57204469200;","Clustering and Self-Recovery of Slanted Hydrogel Micropillars",2018,"Advanced Materials Interfaces","5","24", 1801142,"","",,3,"10.1002/admi.201801142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055705875&doi=10.1002%2fadmi.201801142&partnerID=40&md5=b8a49f224045fe3f1348e92ca908eb75","Department of New Energy Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Department of Chemical Engineering and Department of Energy Systems Research, Ajou University, Suwon, 16499, South Korea; Department of Materials Science and Engineering, University of Pennsylvania, 3232 Walnut Street, Philadelphia, PA  19104-6272, United States; Department of Chemical and Biomolecular Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea; The National Creative Research Initiative Center for Intelligent Hybrids, Seoul National University, Seoul, 08826, South Korea","Lee, H., Department of New Energy Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Kim, J.-H., Department of Chemical Engineering and Department of Energy Systems Research, Ajou University, Suwon, 16499, South Korea; Wu, G., Department of Materials Science and Engineering, University of Pennsylvania, 3232 Walnut Street, Philadelphia, PA  19104-6272, United States; Lee, H.-M., Department of Chemical Engineering and Department of Energy Systems Research, Ajou University, Suwon, 16499, South Korea; Kim, J., Department of Chemical and Biomolecular Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Kwon, D., The National Creative Research Initiative Center for Intelligent Hybrids, Seoul National University, Seoul, 08826, South Korea; Yang, S., Department of Materials Science and Engineering, University of Pennsylvania, 3232 Walnut Street, Philadelphia, PA  19104-6272, United States; Kim, C.-K., Department of Chemical Engineering and Department of Energy Systems Research, Ajou University, Suwon, 16499, South Korea; Yoon, H., Department of New Energy Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea, Department of Chemical and Biomolecular Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea","Slanted high-aspect-ratio polymer pillars are studied for their unique properties such as unidirectional spreading of liquid, directional adhesions, or alignment of cells, where the pillars are in constant contact with water or in a humid environment. These pillars, however, tend to cluster upon water evaporation due to the capillary force and lowered modulus of the pillars. Here, spontaneous recovery of clustered slanted hydrogel pillars to their original shape is presented by exploiting the modulus change of hydrogel materials during water evaporation. The clustering and recovery of the slanted hydrogel micropillars are monitored in situ by optical microscopy and environmental scanning electron microscopy. To elucidate sequential clustering and recovery mechanism, the adhesion force between the pillars and the restoring force is compared. Finally, the dynamic change of optical transparency is exploited as the result of switching between clustering and recovery of the slanted micropillars for display. The study of the deformation and recovery of slanted hydrogel pillars will offer insights into geometrical and material designs in water-based applications. © 2018 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim","capillary force; hydrogel; micropillar; modulus; transparency","Adhesion; Aspect ratio; Evaporation; Recovery; Scanning electron microscopy; Transparency; Capillary force; Environmental scanning electron microscopies (ESEM); Humid environment; Micro Pillars; modulus; Optical transparency; Recovery mechanisms; Sequential clustering; Hydrogels",Article,"Final","",Scopus,2-s2.0-85055705875
"Motto S.A., Christwardana M., Hadiyanto","57205319640;55782121900;7409585558;","Potency of yeast - Microalgae spirulina collaboration in microalgae-microbial fuel cells for cafeteria wastewater treatment",2018,"IOP Conference Series: Earth and Environmental Science","209","1", 012022,"","",,2,"10.1088/1755-1315/209/1/012022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059529919&doi=10.1088%2f1755-1315%2f209%2f1%2f012022&partnerID=40&md5=fb5d6a1d3926241ced1287ab32d8dd4f","Department of Chemical Engineering, Faculty of Engineering, Diponegoro University, Jl. Prof. Soedarto SH, Tembalang, Semarang, 50275, Indonesia; Center of Biomass and Renewable Energy (C-BIORE), Diponegoro University, Jl. Prof. Soedarto SH, Tembalang, Semarang, 50275, Indonesia; Graduate School of Energy and Environment, Seoul National University of Science and Technology, 232 Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea","Motto, S.A., Department of Chemical Engineering, Faculty of Engineering, Diponegoro University, Jl. Prof. Soedarto SH, Tembalang, Semarang, 50275, Indonesia, Center of Biomass and Renewable Energy (C-BIORE), Diponegoro University, Jl. Prof. Soedarto SH, Tembalang, Semarang, 50275, Indonesia; Christwardana, M., Graduate School of Energy and Environment, Seoul National University of Science and Technology, 232 Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea; Hadiyanto, Department of Chemical Engineering, Faculty of Engineering, Diponegoro University, Jl. Prof. Soedarto SH, Tembalang, Semarang, 50275, Indonesia, Center of Biomass and Renewable Energy (C-BIORE), Diponegoro University, Jl. Prof. Soedarto SH, Tembalang, Semarang, 50275, Indonesia","The effect of yeast Saccharomyces cerevisiae combined with Spirulina platensis in microalgae-microbial fuel cells (MMFCs) on the treatment of cafeteria wastewater to generate electricity and produce microalgae biomass was investigated. A treated cafeteria wastewater which has Chemical Oxygen Demand (COD) of 33,500 mg•L -1 was used as the substrate and compared with commercial sugar as the control sample. During the process, the substrate was changed partially after 5 days and resulted power density of 73.7?4.57 mW•m -2 . The COD of cafeteria wastewater removed by 30.1% from its initial concentration and then decreased by 40.8% after substrate partially replaced. Increasing optical density of microalgae in the cathode side from 0.6 to 1.37 could improve the oxygen reduction reaction which useful for electricity production. The result showed that cafeteria wastewater has feasibility as the substrate of yeast - Spirulina MMFCs to gain bioelectricity which can be used as an alternative electricity source for developing countries, for example, Indonesia. © 2018 Published under licence by IOP Publishing Ltd.",,"Algae; Biomass; Chemical oxygen demand; Developing countries; Electric power generation; Electrolytic reduction; Electrophysiology; Microbial fuel cells; Microorganisms; Oxygen; Yeast; Control samples; Electricity production; Electricity source; Generate electricity; Initial concentration; Oxygen reduction reaction; Spirulina platensis; Yeast Saccharomyces cerevisiae; Wastewater treatment",Conference Paper,"Final","",Scopus,2-s2.0-85059529919
"Liu K.T., Kueh Y.C., Arifin W.N., Kim Y., Kuan G.","57205120449;56785830900;55630160900;55699655400;57189352017;","Application of transtheoretical model on behavioral changes, and amount of physical activity among university's students",2018,"Frontiers in Psychology","9","DEC", 2402,"","",,15,"10.3389/fpsyg.2018.02402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058664486&doi=10.3389%2ffpsyg.2018.02402&partnerID=40&md5=acf4d80b7e67ab4e6d89ea08a4b7f616","Unit of Biostatistics and Research Methodology, School of Medical Sciences, Universiti Sains Malaysia, Kelantan, Malaysia; Department of Sports and Health Science, Seoul National University of Science and Technology, Seoul, South Korea; Exercise and Sports Science, School of Health Sciences, Universiti Sains Malaysia, Kelantan, Malaysia","Liu, K.T., Unit of Biostatistics and Research Methodology, School of Medical Sciences, Universiti Sains Malaysia, Kelantan, Malaysia; Kueh, Y.C., Unit of Biostatistics and Research Methodology, School of Medical Sciences, Universiti Sains Malaysia, Kelantan, Malaysia; Arifin, W.N., Unit of Biostatistics and Research Methodology, School of Medical Sciences, Universiti Sains Malaysia, Kelantan, Malaysia; Kim, Y., Department of Sports and Health Science, Seoul National University of Science and Technology, Seoul, South Korea; Kuan, G., Exercise and Sports Science, School of Health Sciences, Universiti Sains Malaysia, Kelantan, Malaysia","This study's purpose was to examine the structural relationship of the transtheoretical model (TTM) and the amount of physical activity (PA) among undergraduate students in health and medicine at Universiti Sains Malaysia. A cross-sectional study was carried out among students who took part in the co-curricular program. Co-curricular program includes activities that take place outside of the regular lectures or tutorials in the University. Students recruited through purposive sampling were informed that their participation was entirely voluntarily. Those interested completed the self-administered questionnaire, which consisted of the decisional balance, processes of change, self-efficacy, stages of change scales, and Godin leisure-time exercise questionnaire. Data were analyzed using Mplus version 8 for descriptive statistics and structural equation modeling analysis for inferential statistics. A total of 562 students participated in the study. The majority of the students was female (79.0%) and Malay (73.3%) and average of exercise sessions per week was 2.62, with a mean of 43.37 min per exercise session. The final structural model fit the data well based on several fit indices (SRMR = 0.046, RMSEA (CI: 90%) = 0.061 (0.045, 0.078), RMSEA p = 0.130). The model showed that stages of change significantly affected self-efficacy (p < 0.001), pros (benefits of exercise; p < 0.001), cons (barriers to exercise; p = 0.022), and processes of change (p < 0.001). The model also showed significant inter-relationships among the TTM constructs and supported seven hypotheses. Among all the variables examined, only processes of change significantly affected PA (p < 0.001). However, stages of change (p < 0.001) and pros (p = < 0.001) had significant indirect effects on PA via processes of change. The findings support that individuals' stages of change affect their self-efficacy level, or the ability to make positive and negative decisions and perform behavior accordingly. The study confirms that making correct decisions and taking action accordingly can increase PA levels. © 2018 Liu, Kueh, Arifin, Kim and Kuan.","Decisional balance; Physical activity; Processes of change; Self-efficacy; Structural equation modeling; Transtheoretical model",,Article,"Final","",Scopus,2-s2.0-85058664486
"Ha J.H., Park S.N.","55652546800;7501837337;","Dimeric cinnamoylamide analogues for regulation of tyrosinase activity in melanoma cells: A role of diamide-link chain length",2018,"Bioorganic and Medicinal Chemistry","26","23-24",,"6015","6022",,6,"10.1016/j.bmc.2018.10.036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056300216&doi=10.1016%2fj.bmc.2018.10.036&partnerID=40&md5=758f6934e01d50cdcfdc1ec98c1bcc55","Department of Fine Chemistry, Cosmetic R&D Center, Seoul National University of Science and Technology, 232 Gongneungro, Nowon-gu, Seoul, 01811, South Korea","Ha, J.H., Department of Fine Chemistry, Cosmetic R&D Center, Seoul National University of Science and Technology, 232 Gongneungro, Nowon-gu, Seoul, 01811, South Korea; Park, S.N., Department of Fine Chemistry, Cosmetic R&D Center, Seoul National University of Science and Technology, 232 Gongneungro, Nowon-gu, Seoul, 01811, South Korea","Dimeric cynnamoyl analogues (DCAs) with depigmenting activity have been developed. In this study, a role of diamide linkage chain length of DCAs as a tyrosinase inhibitor was investigated on tyrosinase inhibitory activity, antioxidative activity, hydrophobicity and anti-melanogenesis as well as structural characteristics and dipole moments based on density functional theory. DCAs with different diamide-link chain lengths (n = 2, 3, and 4) and various functional groups (m-coumaroyl, p-coumaroyl, isoferuloyl and feruloyl groups) were synthesized. DCAs with a diamide-link chain length of three indicated high inhibitory effect of melanin production on α-melanocyte stimulating hormone (α-MSH) stimulated B16F1 cells. Approach of p-hydroxyl group of DCAs to active site of tyrosinase, an important melanogenic enzyme, is interfered by addition of m-methoxy group. In structural modeling based on density functional theory, DCAs with a diamide-link chain length of three showed folded shapes, and they had lower dipole moment than with a diamide-link chain length of two or four. Thus, for the enhancement of the depigmenting activities of dimeric compounds, the diamide-link chain length is important. Our results provide an important index for the design of dimeric compounds with physiological activities. © 2018 Elsevier Ltd","Cinnamoyl analogues; Density functional theory; Depigementing activity; Diamide-link chain length; Dimeric compound","amide; antioxidant; dimeric cinnamoylamide derivative; monophenol monooxygenase; n,n' di 3 coumaroyl 1,2 diaminoethane; n,n' di 3 coumaroyl 1,3 diaminopropane; n,n' di 3 coumaroyl 1,4 diaminobutane; n,n' di 4 coumaroyl 1,2 diaminoethane; n,n' di 4 coumaroyl 1,3 diaminopropane; n,n' di 4 coumaroyl 1,4 diaminobutane; n,n' diferuloyl 1,2 diaminoethane; n,n' diferuloyl 1,3 diaminopropane; n,n' diferuloyl 1,4 diaminobutane; n,n' diisoferuloyl 1,2 diaminoethane; n,n' diisoferuloyl 1,3 diaminopropane; n,n' diisoferuloyl 1,4 diaminobutane; unclassified drug; amide; antioxidant; cinnamic acid derivative; monophenol monooxygenase; antioxidant activity; Article; B16-F1 cell line; cell protection; controlled study; density functional theory; enzyme activity; enzyme inhibition; enzyme regulation; hydrophobicity; IC50; melanogenesis; structure activity relation; Agaricales; animal; antagonists and inhibitors; cell survival; chemical structure; chemistry; dimerization; dose response; drug effect; enzymology; melanoma; metabolism; mouse; pathology; tumor cell culture; Agaricales; Amides; Animals; Antioxidants; Cell Survival; Cinnamates; Density Functional Theory; Dimerization; Dose-Response Relationship, Drug; Melanoma; Mice; Molecular Structure; Monophenol Monooxygenase; Structure-Activity Relationship; Tumor Cells, Cultured",Article,"Final","",Scopus,2-s2.0-85056300216
"Ahmed A.A., Koh B.K., Lee Y.I.","56311161000;57188926455;57218133912;","Continuous Control Set-Model Predictive Control for Torque Control of Induction Motors in a Wide Speed Range",2018,"Electric Power Components and Systems","46","19-20",,"2142","2158",,3,"10.1080/15325008.2018.1533602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058990762&doi=10.1080%2f15325008.2018.1533602&partnerID=40&md5=a1288dbefd89793abb60a04175908519","Department of Electrical Power and Machines Engineering, Faculty of Engineering, Tanta University, Tanta, Egypt; Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea","Ahmed, A.A., Department of Electrical Power and Machines Engineering, Faculty of Engineering, Tanta University, Tanta, Egypt; Koh, B.K., Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea; Lee, Y.I., Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea","This paper proposes a novel continuous control set model predictive control (CCS-MPC) method for the torque control of induction motors. A systematic way to define a reference state for the given torque reference is provided. The reference state is determined according to three different operational modes to yield the highest possible efficiency. First, at low speeds, the maximum torque per ampere (MTPA) is achieved considering ohmic loss minimization. Second, the flux reference is limited by increasing the slip frequency with increase in the reference torque. Third, MTPA in field-weakening region is adopted. In proposed MPC, a cost index is defined using the derived reference state and the optimal control input is determined considering the input constraints. This control input is obtained without use of any numerical algorithm at each time step. The stability analysis of the closed-loop control system is performed. The proposed control is implemented and validated by simulation and experimental studies at steady and transient states. The results confirm that the proposed approach gives a very good dynamic performance in a wide speed range within the machine’s capability. The ripples in torque and current are reduced compared to the last referenced MPC of IM. © 2018, Copyright © Taylor & Francis Group, LLC.","continuous control set MPC; field-weakening; flux-limited; IM; maximum torque per ampere; torque control","Closed loop control systems; Electric machine theory; Induction motors; Model predictive control; Predictive control systems; Torque; Torque control; Continuous control; Dynamic performance; Field-weakening; Maximum Torque per Ampere; Maximum torque per ampere (MTPA); Numerical algorithms; Stability analysis; Steady and transient state; Electric machine control",Article,"Final","",Scopus,2-s2.0-85058990762
"Chuprunov K., Kolesnikov E., Ilinykh I., Yudin A., Leybo D., Karunakaran G.","24460612100;57057275500;55949931300;36807023600;55568412900;55480032500;","The ultrasound effect on the morphological properties of hydroxyapatite",2018,"MATEC Web of Conferences","243",, 00012,"","",,3,"10.1051/matecconf/201824300012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059104792&doi=10.1051%2fmatecconf%2f201824300012&partnerID=40&md5=3ebd02fbe65e6b2080dc84f762f20544","National University of Science and Technology mISIS, Department of Functional Nanosystems and High-Temperature Materials, 4, Leninsky avenue, Moscow, 119049, Russian Federation; Seoul National University of Science and Technology, Department of Fine Chemistry, 232 Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea","Chuprunov, K., National University of Science and Technology mISIS, Department of Functional Nanosystems and High-Temperature Materials, 4, Leninsky avenue, Moscow, 119049, Russian Federation; Kolesnikov, E., National University of Science and Technology mISIS, Department of Functional Nanosystems and High-Temperature Materials, 4, Leninsky avenue, Moscow, 119049, Russian Federation; Ilinykh, I., National University of Science and Technology mISIS, Department of Functional Nanosystems and High-Temperature Materials, 4, Leninsky avenue, Moscow, 119049, Russian Federation; Yudin, A., National University of Science and Technology mISIS, Department of Functional Nanosystems and High-Temperature Materials, 4, Leninsky avenue, Moscow, 119049, Russian Federation; Leybo, D., National University of Science and Technology mISIS, Department of Functional Nanosystems and High-Temperature Materials, 4, Leninsky avenue, Moscow, 119049, Russian Federation; Karunakaran, G., Seoul National University of Science and Technology, Department of Fine Chemistry, 232 Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea","The present study considers the morphological and dispersity characteristics of hydroxyapatite (HAp) samples synthesised through the ultrasound-Assisted hydrothermal method with additional pressure treatment. The samples were analyzed by the X-Ray diffraction, scanning electron microscopy, low-Temperature nitrogen adsorption. The ultrasound effect on the HAp morphologiy and dispersity was studied. The pressure assisted ultrasonic treatment made possible obtaining HAp samples with different morphology from rods and flakes to particles with irregular shape close to spherical. Also pressure assisted ultrasonic treatment able to increase the porosity of HAp materials. © The Authors, published by EDP Sciences, 2018.",,"Gas adsorption; Hydroxyapatite; Scanning electron microscopy; Temperature; Terrorism; Ultrasonic effects; Ultrasonic equipment; Hydrothermal methods; Hydroxyapatite (HAp); Irregular shape; Low-temperature nitrogen; Morphological properties; Pressure treatments; Synthesised; Ultrasonic treatments; Energy management systems",Conference Paper,"Final","",Scopus,2-s2.0-85059104792
