id,cluster
Energy efficient and low-cost server architecture for hadoop storage appliance,10
The effects of cobalt phthalocyanine and polyacrylic acid on the reactivity of hydrogen peroxide oxidation reaction and the performance of hydrogen peroxide fuel cell,2
An accurate weight binarization scheme for CNN object detectors with two scaling factors,13
Dielectric property characterisation of thin films based on iterative comparisons of fullwave simulations and measurements,6
Mesoporous Mg-doped hydroxyapatite nanorods prepared from bio-waste blue mussel shells for implant applications,2
Hydrogenerated black titanium dioxide-embedded conducting polymer for boosting electron flow in perovskite devices,4
Three-dimensional core_hell structured NiCo2O4@CoS/Ni-Foam electrocatalyst for oxygen evolution reaction and electrocatalytic oxidation of urea,2
Floor vibration experiment and serviceability test of iFLASH system,8
Simple P-I diagram for structural components based on support rotation angle criteria,5
Analysis of improvement effect of rail design standard for high speed application of existing rail lines,5
Applicability evaluation of dynamic amplification factor considering track support stiffness,5
Study on the optimization of gauge expansion for improvement of running performance of high-speed railway turnouts,5
Zno nanorods-based piezoelectric nanogenerators on double-sided conducting paper,6
Compact Ultra Wide-Band and Tri-Band Antenna for Portable Device,12
Antioxidant compounds and activities of pedicel and sepals from twelve varieties of colored cherry tomatoes,12
The effects of temperature and membrane thickness on the performance of aqueous alkaline redox flow batteries using napthoquinone and ferrocyanide as redox couple,2
A Feasible and Holistic Characterization of an Affordable Anti-Fog Coating Enhancing Readability,7
Effect of nozzle L/D of gasoline direct injection injectors on spray characteristics under different superheated degrees,7
Investigation of oxygen and water distributions in the modified parallel-serpentine cathode channels of a unit polymer electrolyte membrane fuel cell,2
Simultaneous control of staphylococcus aureus and bacillus cereus using a hybrid endolysin lysb4ead-lyssa11,11
Comparisons of two types of particle tracking models including the effects of vertical velocity shear,3
Process design and economic evaluation of condensate recycling process for steam consumption reduction,9
Anti-oxidant copper layer by remote mode N2 plasma for low temperature copper_opper bonding,7
Comparisons of the anti_nflammatory activity of dendropanax morbifera lev leaf extract contents based on the collection season and concentration of ethanol as an extraction solvent,12
Analysis on the effects of external temperature and welding speed on the safety of EVA waterproofing sheet joints by hot air welding,8
Optimal design of annular phased array transducers for material nonlinearity determination in pulse_cho ultrasonic testing,8
Multilayered salt water with high optical transparency for EMI shielding applications,6
Water-soluble carbon quantum dots modified by amino groups for polarization fluorescence detection of copper (Ii) ion in aqueous media,2
Grid voltage estimation based on integral resonant current controller for LCL-filtered grid-connected inverter without AC voltage sensors,5
Performance evaluation of cementless composites with alkali-sulfate activator for field application,2
Cardiometabolic risk factor in obese and normal weight individuals in community dwelling men,11
Effect of injecting epoxy resin adhesive into cement mortar on tile adhesion performance,8
Analysis of age-based bone mineral density in the korean adult population using dual-energy X-ray absorptiometry,11
Motion-aware interplay between wigig and wifi for wireless virtual reality,3
Volatility in rainfall and predictability of droughts in northwest Bangladesh,1
A statistical approach to controlling the size of aluminum nanoparticles synthesized by pulsed laser ablation in liquid,7
Dielectrophoretic Manipulation of Janus Particle in Conductive Media for Biomedical Applications,2
Autochain platform: expert automatic algorithm Blockchain technology for house rental dApp image application model,10
