,0
0,6
1,15
2,28
3,28
4,28
5,11
6,0
7,15
8,24
9,0
10,7
11,26
12,26
13,22
14,16
15,2
16,22
17,6
18,22
19,23
20,5
21,6
22,2
23,2
24,3
25,8
26,28
27,3
28,21
29,13
30,4
31,7
32,27
33,9
34,9
35,22
36,6
37,26
38,15
39,14
40,18
41,22
42,24
43,22
44,24
45,0
46,3
47,10
48,16
49,15
50,9
51,15
52,26
53,29
54,29
55,22
56,28
57,15
58,4
59,7
60,6
61,6
62,13
63,14
64,8
65,10
66,0
67,16
68,2
69,9
70,9
71,13
72,16
73,11
74,15
75,6
76,22
77,24
78,18
79,3
80,3
81,18
82,25
83,0
84,9
85,9
86,17
87,3
88,24
89,28
90,11
91,12
92,16
93,21
94,10
95,12
96,16
97,24
98,29
99,0
100,0
101,18
102,29
103,22
104,15
105,15
106,2
107,14
108,27
109,8
110,29
111,6
112,4
113,20
114,23
115,15
116,5
117,23
118,3
119,10
120,9
121,14
122,6
123,10
124,13
125,22
126,17
127,20
128,9
129,22
130,15
131,2
132,17
133,6
134,15
135,2
136,15
137,11
138,23
139,29
140,7
141,1
142,2
143,17
144,14
145,26
146,12
147,17
148,9
149,16
150,28
151,6
152,25
153,22
154,9
155,25
156,15
157,14
158,29
159,29
160,14
161,22
162,29
163,15
164,20
165,12
166,28
167,15
168,4
169,20
170,13
171,25
172,11
173,29
174,0
175,15
176,15
177,28
178,0
179,13
180,23
181,13
182,10
183,4
184,15
185,22
186,28
187,4
188,28
189,21
190,16
191,22
192,16
193,8
194,27
195,22
196,20
197,29
198,25
199,26
200,18
201,3
202,27
203,26
204,27
205,27
206,0
207,15
208,25
209,6
210,28
211,24
212,27
213,11
214,13
215,15
216,19
217,29
218,29
219,28
220,26
221,23
222,27
223,21
224,1
225,6
226,2
227,18
228,27
229,20
230,9
231,9
232,8
233,25
234,27
235,28
236,23
237,2
238,26
239,24
240,6
241,6
242,23
243,22
244,0
245,16
246,13
247,23
248,29
249,11
250,5
251,15
252,25
253,4
254,14
255,29
256,4
257,4
258,11
259,25
260,4
261,1
262,6
263,25
264,8
265,6
266,11
267,28
268,27
269,14
270,18
271,23
272,23
273,15
274,15
275,15
276,11
277,11
278,16
279,9
280,24
281,16
282,11
283,15
284,24
285,28
286,0
287,4
288,26
289,20
290,8
291,16
292,20
293,6
294,15
295,8
296,29
297,6
298,28
299,15
300,18
301,28
302,16
303,0
304,2
305,22
306,28
307,10
308,7
309,28
310,27
311,17
312,11
313,12
314,11
315,22
316,15
317,14
318,15
319,2
320,0
321,19
322,29
323,16
324,22
325,15
326,25
327,22
328,11
329,21
330,11
331,15
332,11
333,16
334,9
335,17
336,21
337,20
338,16
339,24
340,23
341,28
342,19
343,29
344,4
345,22
346,4
347,15
348,22
349,4
350,19
351,26
352,14
353,28
354,7
355,9
356,29
357,27
358,13
359,6
360,17
361,14
362,29
363,0
364,8
365,15
366,15
367,16
368,10
369,8
370,9
371,15
372,26
373,20
374,7
375,21
376,26
377,17
378,21
379,23
380,16
381,8
382,8
383,12
384,28
385,16
386,2
387,24
388,14
389,18
390,26
391,17
392,16
393,15
394,21
395,21
396,13
397,29
398,16
399,28
400,26
401,16
402,22
403,12
404,28
405,29
406,20
407,29
408,15
409,16
410,28
411,22
412,3
413,29
414,9
415,1
416,29
417,0
418,1
419,27
420,26
421,26
422,26
423,10
424,15
425,15
426,15
427,25
428,14
429,26
430,6
431,28
432,4
433,23
434,25
435,21
436,21
437,4
438,2
439,22
440,16
441,19
442,2
443,3
444,4
445,26
446,2
447,21
448,29
449,19
450,1
451,27
452,6
453,19
454,15
455,9
456,19
457,2
458,17
459,28
460,4
461,4
462,29
463,26
464,6
465,6
466,16
467,3
468,17
469,3
470,4
471,22
472,8
473,6
474,9
475,27
476,28
477,29
478,0
479,9
480,29
481,16
482,24
483,1
484,24
485,18
486,8
487,15
488,8
489,29
490,1
491,29
492,27
493,20
494,4
495,4
496,22
497,16
498,29
499,8
500,15
501,8
502,4
503,28
504,14
505,10
506,18
507,20
508,8
509,7
510,1
511,24
512,0
513,0
514,8
515,23
516,10
517,17
518,0
519,20
520,10
521,26
522,9
523,17
524,13
525,22
526,29
527,27
528,4
529,16
530,29
531,14
532,11
533,8
534,15
535,22
536,8
537,3
538,15
539,4
540,28
541,14
542,24
543,0
544,8
545,0
546,2
547,0
548,3
549,9
550,29
551,16
552,18
553,20
554,16
555,6
556,8
557,19
558,10
559,8
560,2
561,14
562,29
563,3
564,8
565,21
566,21
567,23
568,10
569,6
570,6
571,9
572,11
573,24
574,24
575,29
576,13
577,29
578,18
579,15
580,24
581,11
582,22
583,27
584,0
585,16
586,24
587,4
588,25
589,27
590,5
591,13
592,8
593,27
594,27
595,29
596,8
597,29
598,29
599,16
600,26
601,14
602,7
603,7
604,4
605,14
606,7
607,3
608,3
609,22
610,20
611,20
612,19
613,18
614,27
615,17
616,4
617,23
618,10
619,5
620,0
621,29
622,16
623,18
624,24
625,22
626,17
627,20
628,10
629,8
630,0
631,28
632,6
633,25
634,16
635,22
636,18
637,28
638,6
639,6
640,9
641,15
642,26
643,27
644,11
645,15
646,15
647,13
648,27
649,27
650,7
651,12
652,14
653,13
654,13
655,14
656,25
657,28
658,11
659,15
660,20
661,22
662,7
663,16
664,29
665,29
666,22
667,16
668,2
669,22
670,15
671,20
672,28
673,4
674,11
675,15
676,3
677,22
678,12
679,8
680,8
681,22
682,1
683,6
684,14
685,2
686,24
687,26
688,29
689,2
690,29
691,11
692,26
693,4
694,0
695,22
696,10
697,11
698,21
699,26
700,22
701,24
702,18
703,13
704,27
705,27
706,21
707,22
708,11
709,15
710,29
711,25
712,24
713,5
714,5
715,25
716,13
717,29
718,0
719,16
720,20
721,11
722,7
723,1
724,20
725,26
726,20
727,16
728,20
729,15
730,4
731,19
732,9
733,10
734,25
735,27
736,22
737,16
738,17
739,16
740,26
741,7
742,13
743,29
744,18
745,10
746,22
747,7
748,15
749,15
750,25
751,2
752,8
753,1
754,10
755,25
756,29
757,27
758,11
759,4
760,0
761,0
762,15
763,15
764,0
765,8
766,28
767,18
768,14
769,26
770,11
771,13
772,9
773,22
774,4
775,1
776,16
777,5
778,29
779,29
780,20
781,3
782,16
783,20
784,27
785,16
786,3
787,10
788,21
789,28
790,12
791,25
792,25
793,26
794,3
795,16
796,7
797,11
798,5
799,15
800,10
801,17
802,6
803,10
804,25
