topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40
0.000926278,0.000926278,0.037972294,0.000926278,0.000926278,0.000926278,0.037972853,0.000926278,0.000926278,0.000926278,0.000926278,0.000926278,0.081217803,0.000926278,0.000926278,0.000926278,0.000926278,0.224296704,0.000926278,0.000926278,0.000926278,0.000926278,0.000926278,0.400357932,0.07521347,0.036733046,0.000926278,0.000926278,0.000926278,0.000926278,0.038266659,0.000926278,0.000926278,0.000926278,0.000926278,0.000926278,0.000926278,0.039254636,0.000926278,0.000926278
0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.056252845,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.568856835,0.000694522,0.000694522,0.000694522,0.293634146,0.000694522,0.000694522,0.056253415,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522,0.000694522
0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.76581496,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.049002126,0.059128206,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.106904499,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949,0.000531949
0.000384648,0.000384648,0.000384648,0.000384648,0.000384648,0.000384648,0.000384648,0.000384648,0.000384648,0.769912243,0.000384648,0.000384648,0.000384648,0.032406747,0.000384648,0.000384648,0.000384648,0.088263229,0.000384648,0.000384648,0.000384648,0.000384648,0.000384648,0.000384648,0.000384648,0.063856788,0.000384648,0.000384648,0.032098297,0.000384648,0.000384648,0.000384648,0.000384648,0.000384648,0.000384648,0.000384648,0.000384648,0.000384648,0.000384648,0.000384648
0.047984865,0.000520923,0.063027829,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.746308029,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.000520923,0.05895656,0.000520923,0.000520923,0.000520923,0.000520923,0.044344895,0.000520923,0.000520923,0.000520923,0.021666454
0.000675894,0.000675894,0.188738629,0.000675894,0.000675894,0.000675894,0.000675894,0.000675894,0.000675894,0.000675894,0.000675894,0.055115968,0.000675894,0.000675894,0.000675894,0.000675894,0.000675894,0.000675894,0.000675894,0.000675894,0.000675894,0.02770588,0.210478768,0.000675894,0.000675894,0.000675894,0.000675894,0.000675894,0.000675894,0.028718283,0.054745223,0.000675894,0.000675894,0.000675894,0.000675894,0.000675894,0.000675894,0.000675894,0.000675894,0.412192732
0.000312559,0.000312559,0.000312559,0.116855249,0.000312559,0.000312559,0.000312559,0.000312559,0.000312559,0.000312559,0.000312559,0.000312559,0.030154498,0.000312559,0.000312559,0.409386635,0.033522774,0.000312559,0.000312559,0.049366817,0.10626886,0.000312559,0.007782089,0.000312559,0.000312559,0.000312559,0.094274364,0.013105458,0.116886236,0.000312559,0.000312559,0.000312559,0.013332813,0.000312559,0.000312559,0.000312559,0.000312559,0.000312559,0.000312559,0.000312559
0.076869123,0.000301305,0.000301305,0.000301305,0.012597336,0.000301305,0.000301305,0.000301305,0.000301305,0.017069619,0.000301305,0.000301305,0.000301305,0.000301305,0.000301305,0.000301305,0.000301305,0.211972803,0.000301305,0.000301305,0.052266251,0.000301305,0.000301305,0.000301305,0.04929677,0.000301305,0.000301305,0.000301305,0.000301305,0.000301305,0.000301305,0.569985092,0.000301305,0.000301305,0.000301305,0.000301305,0.000301305,0.000301305,0.000301305,0.000301305
0.000238159,0.011133182,0.000238159,0.219477549,0.282301784,0.000238159,0.000238159,0.000238159,0.000238159,0.000238159,0.000238159,0.011312345,0.195036471,0.008254424,0.000238159,0.000238159,0.118343145,0.000238159,0.000238159,0.000238159,0.000238159,0.000238159,0.000238159,0.000238159,0.000238159,0.000238159,0.0164288,0.081982024,0.000238159,0.000238159,0.000238159,0.000238159,0.018912155,0.009818795,0.000238159,0.020330871,0.000238159,0.000238159,0.000238159,0.000238159
0.001000302,0.001000302,0.001000302,0.190052062,0.105532028,0.001000302,0.001000302,0.001000302,0.001000302,0.001000302,0.001000302,0.125637978,0.001000302,0.001000302,0.001000302,0.135441393,0.001000302,0.045558874,0.001000302,0.05751811,0.001000302,0.001000302,0.001000302,0.001000302,0.001000302,0.001000302,0.001000302,0.001000302,0.001000302,0.163506076,0.001000302,0.001000302,0.001000302,0.001000302,0.001000302,0.001000302,0.001000302,0.001000302,0.104734443,0.041009657
0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.020663487,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.774281859,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.000367689,0.191450238,0.000367689
0.000362371,0.000362371,0.000362371,0.000362371,0.000362371,0.027646502,0.000362371,0.000362371,0.000362371,0.000362371,0.000362371,0.000362371,0.000362371,0.030792322,0.000362371,0.198488742,0.093639247,0.000362371,0.000362371,0.000362371,0.000362371,0.060668267,0.000362371,0.000362371,0.000362371,0.087079577,0.000362371,0.000362371,0.000362371,0.000362371,0.000362371,0.000362371,0.000362371,0.000362371,0.000362371,0.489727139,0.000362371,0.000362371,0.000362371,0.000362371
0.000373293,0.000373293,0.139501348,0.000373293,0.000373293,0.000373293,0.000373293,0.000373293,0.000373293,0.000373293,0.113570005,0.000373293,0.000373293,0.035776336,0.000373293,0.000373293,0.000373293,0.000373293,0.000373293,0.021634661,0.000373293,0.497240394,0.000373293,0.030225528,0.000373293,0.000373293,0.000373293,0.045161098,0.000373293,0.000373293,0.000373293,0.000373293,0.000373293,0.000373293,0.000373293,0.000373293,0.000373293,0.104945213,0.000373293,0.000373293
0.000446545,0.000446545,0.000446545,0.000446545,0.000446545,0.000446545,0.000446545,0.000446545,0.000446545,0.000446545,0.000446545,0.000446545,0.000446545,0.062295105,0.000446545,0.000446545,0.000446545,0.000446545,0.000446545,0.080670319,0.000446545,0.018883953,0.000446545,0.407543004,0.000446545,0.000446545,0.000446545,0.000446545,0.000446545,0.000446545,0.000446545,0.037115686,0.000446545,0.127890021,0.000446545,0.128809214,0.000446545,0.000446545,0.077354096,0.045595709
0.00044653,0.00044653,0.00044653,0.00044653,0.00044653,0.00044653,0.117948562,0.00044653,0.132117018,0.00044653,0.00044653,0.00044653,0.00044653,0.00044653,0.00044653,0.00044653,0.453227997,0.00044653,0.00044653,0.00044653,0.00044653,0.00044653,0.238982528,0.00044653,0.00044653,0.00044653,0.00044653,0.00044653,0.00044653,0.00044653,0.00044653,0.00044653,0.00044653,0.042095352,0.00044653,0.00044653,0.00044653,0.00044653,0.00044653,0.00044653
0.021521803,0.000520972,0.021619307,0.000520972,0.000520972,0.000520972,0.000520972,0.000520972,0.000520972,0.000520972,0.000520972,0.000520972,0.000520972,0.163920626,0.000520972,0.000520972,0.000520972,0.316086113,0.000520972,0.023066362,0.000520972,0.000520972,0.000520972,0.139070898,0.000520972,0.000520972,0.000520972,0.000520972,0.000520972,0.200308859,0.000520972,0.000520972,0.000520972,0.000520972,0.000520972,0.075146914,0.000520972,0.023108942,0.000520972,0.000520972
0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.020669302,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.020499982,0.179396197,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.00050007,0.761431992
0.000277909,0.022451026,0.029758159,0.000277909,0.000277909,0.000277909,0.000277909,0.000277909,0.000277909,0.000277909,0.000277909,0.000277909,0.000277909,0.000277909,0.000277909,0.000277909,0.025477985,0.088668168,0.0476349,0.000277909,0.000277909,0.000277909,0.000277909,0.000277909,0.678349495,0.000277909,0.000277909,0.000277909,0.012259178,0.000277909,0.000277909,0.000277909,0.024379686,0.000277909,0.000277909,0.000277909,0.000277909,0.000277909,0.022748185,0.039935961
0.018780006,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.742193818,0.000301228,0.000301228,0.000301228,0.041726243,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.036580104,0.000301228,0.000301228,0.000301228,0.150176853,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228,0.000301228
0.000312618,0.000312618,0.018856419,0.000312618,0.000312618,0.000312618,0.000312618,0.000312618,0.000312618,0.000312618,0.000312618,0.000312618,0.000312618,0.052352354,0.000312618,0.000312618,0.000312618,0.099488512,0.052381769,0.000312618,0.000312618,0.000312618,0.000312618,0.000312618,0.198620617,0.012802791,0.000312618,0.000312618,0.009716544,0.179892614,0.000312618,0.000312618,0.000312618,0.000312618,0.000312618,0.01518709,0.300982505,0.000312618,0.023635762,0.027329706
0.000320663,0.000320663,0.000320663,0.000320663,0.120528914,0.000320663,0.000320663,0.000320663,0.033742741,0.000320663,0.000320663,0.000320663,0.165439561,0.019389775,0.000320663,0.000320663,0.000320663,0.000320663,0.103155196,0.000320663,0.036685333,0.000320663,0.203906044,0.000320663,0.000320663,0.000320663,0.000320663,0.06717474,0.000320663,0.000320663,0.091407493,0.000320663,0.000320663,0.013159156,0.013849572,0.084046602,0.000320663,0.026054766,0.013122857,0.000320663
0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.170813099,0.670846224,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861,0.004166861
0.000521029,0.000521029,0.02383423,0.000521029,0.000521029,0.000521029,0.000521029,0.000521029,0.017566182,0.021381756,0.000521029,0.000521029,0.000521029,0.000521029,0.000521029,0.02453173,0.026003461,0.070184529,0.061827924,0.000521029,0.000521029,0.000521029,0.000521029,0.000521029,0.000521029,0.000521029,0.000521029,0.000521029,0.000521029,0.737997293,0.000521029,0.000521029,0.000521029,0.000521029,0.000521029,0.000521029,0.000521029,0.000521029,0.000521029,0.000521029
0.000347344,0.081709355,0.000347344,0.000347344,0.000347344,0.000347344,0.000347344,0.000347344,0.000347344,0.000347344,0.000347344,0.000347344,0.000347344,0.074891962,0.000347344,0.000347344,0.000347344,0.337388873,0.000347344,0.038747128,0.184330747,0.000347344,0.000347344,0.000347344,0.000347344,0.070830055,0.000347344,0.000347344,0.000347344,0.049754154,0.000347344,0.000347344,0.031391013,0.104657084,0.000347344,0.000347344,0.000347344,0.000347344,0.015879283,0.000347344
0.000316508,0.000316508,0.046769999,0.000316508,0.000316508,0.000316508,0.000316508,0.000316508,0.012994516,0.613560081,0.000316508,0.000316508,0.000316508,0.014761848,0.000316508,0.013666966,0.000316508,0.109493561,0.000316508,0.000316508,0.000316508,0.000316508,0.039361719,0.000316508,0.000316508,0.000316508,0.000316508,0.000316508,0.000316508,0.000316508,0.000316508,0.000316508,0.000316508,0.000316508,0.000316508,0.000316508,0.000316508,0.139263064,0.000316508,0.000316508
