Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
Energy efficient and low-cost server architecture for hadoop storage appliance,Energy efficient and low-cost server architecture for hadoop storage appliance,,311,231.233519,5,0.538141,0.613388,0.001309,0
Three-dimensional core–shell structured NiCo2O4@CoS/Ni-Foam electrocatalyst for oxygen evolution reaction and electrocatalytic oxidation of urea,Three-dimensional core–shell structured NiCo2O4@CoS/Ni-Foam electrocatalyst for oxygen evolution reaction and electrocatalytic oxidation of urea,,618,479.173403,4,0.65949,0.757804,0.00681,3
Simple P-I diagram for structural components based on support rotation angle criteria,Simple P-I diagram for structural components based on support rotation angle criteria,,746,596.45095,4,0.71719,0.814863,0.002672,1
Study on the optimization of gauge expansion for improvement of running performance of high-speed railway turnouts,Study on the optimization of gauge expansion for improvement of running performance of high-speed railway turnouts,,569,441.650084,4,0.636413,0.734679,0.000373,3
Compact Ultra Wide-Band and Tri-Band Antenna for Portable Device,Compact Ultra Wide-Band and Tri-Band Antenna for Portable Device,,721,575.522065,4,0.7046,0.803551,0.001593,1
Comparisons of the anti‐inflammatory activity of dendropanax morbifera lev leaf extract contents based on the collection season and concentration of ethanol as an extraction solvent,Comparisons of the anti‐inflammatory activity of dendropanax morbifera lev leaf extract contents based on the collection season and concentration of ethanol as an extraction solvent,,433,328.28973,4,0.579393,0.670032,0.000082,3
Optimal design of annular phased array transducers for material nonlinearity determination in pulse–echo ultrasonic testing,Optimal design of annular phased array transducers for material nonlinearity determination in pulse–echo ultrasonic testing,,506,387.621434,4,0.606882,0.703966,0.000151,3
Effect of injecting epoxy resin adhesive into cement mortar on tile adhesion performance,Effect of injecting epoxy resin adhesive into cement mortar on tile adhesion performance,,768,618.705989,4,0.726138,0.824026,0.003713,1
Identification of promising inventions considering the quality of knowledge accumulation: a machine learning approach,Identification of promising inventions considering the quality of knowledge accumulation: a machine learning approach,,727,579.618967,4,0.70674,0.805985,0.002268,1
A colorimetric chemosensor for selective detection of copper ions,A colorimetric chemosensor for selective detection of copper ions,,573,443.465426,4,0.638508,0.736684,0.000419,3
Atomic Layer Deposition of AlN Thin Films on GaN and Electrical Properties in AlN/GaN Heterojunction Diodes,Atomic Layer Deposition of AlN Thin Films on GaN and Electrical Properties in AlN/GaN Heterojunction Diodes,,777,628.797473,4,0.733922,0.829038,0.002948,1
Efficient isoparametric trimmed-hexahedral elements with explicit shape functions,Efficient isoparametric trimmed-hexahedral elements with explicit shape functions,,741,592.346577,4,0.714549,0.812572,0.003112,1
Public perspective on the environmental impacts of sea sand mining: Evidence from a choice experiment in South Korea,Public perspective on the environmental impacts of sea sand mining: Evidence from a choice experiment in South Korea,,652,510.821278,4,0.670121,0.771621,0.001836,3
Low-temperature large-area fabrication of ZnO nanowires on flexible plastic substrates by solution-processible metal-seeded hydrothermal growth,Low-temperature large-area fabrication of ZnO nanowires on flexible plastic substrates by solution-processible metal-seeded hydrothermal growth,,617,479.9219,4,0.657627,0.756873,0.001179,3
Mitochondrial plastid DNA can cause DNA barcoding paradox in plants,Mitochondrial plastid DNA can cause DNA barcoding paradox in plants,,760,609.500092,4,0.719852,0.819731,0.002348,1
Recent Advances in One-Pot Modular Synthesis of 2-Quinolones,Recent Advances in One-Pot Modular Synthesis of 2-Quinolones,,663,518.915201,4,0.677138,0.777348,0.001499,3
Biological activities and chemical components of Potentilla kleiniana Wight & Arn,Biological activities and chemical components of Potentilla kleiniana Wight & Arn,,477,362.768768,4,0.598458,0.691867,0.0001,3
Low-power wireless communication for wireless power transfer device,Low-power wireless communication for wireless power transfer device,,92,66.977096,5,0.470113,0.506214,0.00034,1
Effect of Blending Ratio and Temperature on CO2Solubility in Blended Aqueous Solution of Monoethanolamine and 2-Amino-2-methyl-propanol: Experimental and Modeling Study Using the Electrolyte Nonrandom Two-Liquid Model,Effect of Blending Ratio and Temperature on CO2Solubility in Blended Aqueous Solution of Monoethanolamine and 2-Amino-2-methyl-propanol: Experimental and Modeling Study Using the Electrolyte Nonrandom Two-Liquid Model,,606,472.144932,4,0.652832,0.751861,0.000531,3
Optimal ESS scheduling for peak shaving of building energy using accuracy-enhanced load forecast,Optimal ESS scheduling for peak shaving of building energy using accuracy-enhanced load forecast,,575,445.317287,4,0.638508,0.737328,0.000457,3
Variations in the tensile strength in material extrusion-type 3D printed specimens for various tool paths,Variations in the tensile strength in material extrusion-type 3D printed specimens for various tool paths,,613,476.946047,4,0.655037,0.754725,0.00066,3
MPQ-YOLACT: Mixed-Precision Quantization for Lightweight YOLACT,MPQ-YOLACT: Mixed-Precision Quantization for Lightweight YOLACT,,572,439.56391,4,0.63711,0.735825,0.000478,3
Autonomous flying of drone based on ppo reinforcement learning algorithm,Autonomous flying of drone based on ppo reinforcement learning algorithm,,560,431.016026,4,0.630894,0.729811,0.000317,3
Development of a prediction method for the hyper-elastic material model coefficient through the indentation test and machine learning,Development of a prediction method for the hyper-elastic material model coefficient through the indentation test and machine learning,,754,605.373193,4,0.720743,0.818299,0.004208,1
