Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
makerhanoi/via-simulation-jeep,makerhanoi/via-simulation-jeep,,11,0.171598,0.206264,0.055487,8
PUT-Motorsport/PUTM_DV_Simulator_2020,PUT-Motorsport/PUTM_DV_Simulator_2020,,14,0.124731,0.15595,0,0
makerhanoi/via-docs,makerhanoi/via-docs,,12,0.14665,0.166815,0,8
Holyheld/holy_wallet,Holyheld/holy_wallet,,15,0.111111,0.131947,0,0
PUT-Motorsport/PUTM_DV_docker_2020,PUT-Motorsport/PUTM_DV_docker_2020,,14,0.124731,0.15595,0,0
szenergy/nissanleaf-lgsvl,szenergy/nissanleaf-lgsvl,,13,0.128746,0.15147,0,8
Holyheld/holy-contracts,Holyheld/holy-contracts,,14,0.124865,0.157386,0.014149,0
autowarefoundation/modelzoo,autowarefoundation/modelzoo,,11,0.207513,0.264009,0.001292,4
DRL-CASIA/Collected-Autonomous-Driving,DRL-CASIA/Collected-Autonomous-Driving,,13,0.142157,0.192201,0.069267,0
HotzoneAuto/diamond-auto,HotzoneAuto/diamond-auto,,9,0.27619,0.3552,0.000359,4
aSmartVehicle/esp32driver,aSmartVehicle/esp32driver,,14,0.124064,0.150921,0.014149,0
aSmartVehicle/esp32driver-board,aSmartVehicle/esp32driver-board,,13,0.141119,0.17496,0.028051,0
aSmartVehicle/app-android,aSmartVehicle/app-android,,15,0.110476,0.128499,0,0
szenergy/awesome-lidar,szenergy/awesome-lidar,,13,0.128746,0.15147,0,8
zju3dv/disprcnn,zju3dv/disprcnn,,9,0.241164,0.286091,0,8
open-mmlab/OpenPCDet,open-mmlab/OpenPCDet,,9,0.274882,0.350889,0.055118,2
tier4/AutowareArchitectureProposal.proj,tier4/AutowareArchitectureProposal.proj,,10,0.252174,0.32905,0.131249,4
MRWolves/donkeycar,MRWolves/donkeycar,,9,0.27619,0.36382,0.019306,1
usdot-fhwa-stol/carma-messenger,usdot-fhwa-stol/carma-messenger,,10,0.233871,0.292351,0.009125,4
carla-simulator/leaderboard,carla-simulator/leaderboard,,9,0.253275,0.299511,0.007874,8
szenergy/szenergy-utility-programs,szenergy/szenergy-utility-programs,,12,0.147395,0.178309,0.028051,8
bark-simulator/bark-ml,bark-simulator/bark-ml,,9,0.248927,0.289987,0.093873,8
tareeq-av/tareeqav,tareeq-av/tareeqav,,9,0.2723,0.342269,0,2
for-geeks/geek-car,for-geeks/geek-car,,9,0.27619,0.3552,0.000359,4
argos-research/autonomous-driving,argos-research/autonomous-driving,,9,0.241667,0.276194,0,8
erdos-project/pylot,erdos-project/pylot,,10,0.216015,0.260625,0.016117,8
CSLDepend/AVFI,CSLDepend/AVFI,,9,0.253275,0.299511,0.007874,8
nap-lab/apollo-documentation,nap-lab/apollo-documentation,,9,0.270396,0.342987,0,4
hit-haui/car_controller_notTrashCar,hit-haui/car_controller_notTrashCar,,11,0.179845,0.21197,0,2
fpt-corp/DiRa,fpt-corp/DiRa,,10,0.218456,0.270495,0.041769,2
hit-haui/data-generator-notTrashCar,hit-haui/data-generator-notTrashCar,,11,0.180124,0.216281,0.000062,2
intel/ad-rss-lib,intel/ad-rss-lib,,14,0.124597,0.151639,0,0
lgsvl/lanefollowing,lgsvl/lanefollowing,,10,0.232932,0.28373,0,4
hit-haui/model_notTrashCar,hit-haui/model_notTrashCar,,11,0.179845,0.21197,0,2
erdos-project/erdos,erdos-project/erdos,,9,0.262443,0.312996,0.198819,8
berkeleyauv/perception,berkeleyauv/perception,,11,0.177914,0.200551,0,8
usdot-fhwa-stol/carma-platform,usdot-fhwa-stol/carma-platform,,11,0.197615,0.248718,0.000123,4
usdot-fhwa-stol/carma-cloud,usdot-fhwa-stol/carma-cloud,,11,0.197279,0.244407,0,4
srmauvsoftware/srmauv,srmauvsoftware/srmauv,,1,1,1,0,3
srmauvsoftware/srmauvsoftware.github.io,srmauvsoftware/srmauvsoftware.github.io,,1,1,1,0,3
futurice/maximum-aittack,futurice/maximum-aittack,,10,0.217228,0.26173,0,1
fzi-forschungszentrum-informatik/Lanelet2,fzi-forschungszentrum-informatik/Lanelet2,,10,0.244211,0.330487,0.062669,4
lgsvl/simulator,lgsvl/simulator,,9,0.288557,0.376967,0.070919,4
coincar-sim/util_automated_driving_msgs,coincar-sim/util_automated_driving_msgs,,11,0.196944,0.240097,0,4
bmj-autonomous/muleAI,bmj-autonomous/muleAI,,11,0.180685,0.216137,0,1
byu-magicc/kbhackathon,byu-magicc/kbhackathon,,9,0.232,0.272496,0,8
DRL-CASIA/Autonomous-Driving,DRL-CASIA/Autonomous-Driving,,12,0.159122,0.186132,0,0
fubarlabs/foocars,fubarlabs/foocars,,10,0.219697,0.281845,0.010858,1
bmj-autonomous/donkey_ai,bmj-autonomous/donkey_ai,,10,0.218045,0.267477,0.003414,1
srmauvsoftware/alpheus,srmauvsoftware/alpheus,,1,1,1,0,3
jayway/robocar-rally-lab,jayway/robocar-rally-lab,,10,0.218868,0.273225,0,1
