Id,Label,timeset,componentnumber,modularity_class
0,0,,0,15
1,1,,0,9
2,2,,0,16
3,3,,0,29
4,4,,0,9
5,5,,0,9
6,6,,0,9
7,7,,0,13
8,8,,0,13
9,9,,0,2
10,10,,0,2
11,11,,0,2
12,12,,0,29
13,13,,0,29
14,14,,0,22
15,15,,0,9
16,16,,0,16
17,17,,0,8
18,18,,0,9
19,19,,0,22
20,20,,0,8
21,21,,0,5
22,22,,0,21
23,23,,0,22
24,24,,0,8
25,25,,0,13
26,26,,0,29
27,27,,0,16
28,28,,0,2
29,29,,0,9
30,30,,0,22
31,31,,0,13
32,32,,0,22
33,33,,0,4
34,34,,0,17
35,35,,0,8
36,36,,0,21
37,37,,0,15
38,38,,0,9
39,39,,0,5
40,40,,0,15
41,41,,0,21
42,42,,0,8
43,43,,0,3
44,44,,0,18
45,45,,0,2
46,46,,0,21
47,47,,0,22
48,48,,0,21
49,49,,0,22
50,50,,0,22
51,51,,0,8
52,52,,0,5
53,53,,0,5
54,54,,0,22
55,55,,0,16
56,56,,0,29
57,57,,0,16
58,58,,0,13
59,59,,0,2
60,60,,0,8
61,61,,0,22
62,62,,0,9
63,63,,0,8
64,64,,0,22
65,65,,0,17
66,66,,0,21
67,67,,0,2
68,68,,0,5
69,69,,0,15
70,70,,0,15
71,71,,0,9
72,72,,0,13
73,73,,0,2
74,74,,0,2
75,75,,0,9
76,76,,0,22
77,77,,0,22
78,78,,0,29
79,79,,0,13
80,80,,0,9
81,81,,0,5
82,82,,0,17
83,83,,0,16
84,84,,0,8
85,85,,0,16
86,86,,0,22
87,87,,0,5
88,88,,0,2
89,89,,0,8
90,90,,0,2
91,91,,0,29
92,92,,0,16
93,93,,0,22
94,94,,0,16
95,95,,0,16
96,96,,0,4
97,97,,0,21
98,98,,1,0
99,99,,0,8
100,100,,0,4
101,101,,0,8
102,102,,0,16
103,103,,0,5
104,104,,0,5
105,105,,0,5
106,106,,0,22
107,107,,0,9
108,108,,0,2
109,109,,0,9
110,110,,0,2
111,111,,0,9
112,112,,0,17
113,113,,0,22
114,114,,0,4
115,115,,0,30
116,116,,0,16
117,117,,0,15
118,118,,0,13
119,119,,2,0
120,120,,0,9
121,121,,0,8
122,122,,0,5
123,123,,0,16
124,124,,0,9
125,125,,0,17
126,126,,0,28
127,127,,0,8
128,128,,0,2
129,129,,3,0
130,130,,0,16
131,131,,0,2
132,132,,0,17
133,133,,0,4
134,134,,0,9
135,135,,0,9
136,136,,0,15
137,137,,0,9
138,138,,0,15
139,139,,0,16
140,140,,0,15
141,141,,0,2
142,142,,0,4
143,143,,0,15
144,144,,0,15
145,145,,0,2
146,146,,0,21
147,147,,0,8
148,148,,0,22
149,149,,0,8
150,150,,0,8
151,151,,0,9
152,152,,0,9
153,153,,0,9
154,154,,0,9
155,155,,0,16
156,156,,0,4
157,157,,0,2
158,158,,0,2
159,159,,0,26
160,160,,0,4
161,161,,0,9
162,162,,0,4
163,163,,0,13
164,164,,0,2
165,165,,0,16
166,166,,0,2
167,167,,0,4
168,168,,0,4
169,169,,0,13
170,170,,0,13
171,171,,0,9
172,172,,0,2
173,173,,0,8
174,174,,0,13
175,175,,0,10
176,176,,0,17
177,177,,0,5
178,178,,0,5
179,179,,0,8
180,180,,0,13
181,181,,0,15
182,182,,0,13
183,183,,0,13
184,184,,0,22
185,185,,0,15
186,186,,0,9
187,187,,0,21
188,188,,0,5
189,189,,0,5
190,190,,0,9
191,191,,0,8
192,192,,0,16
193,193,,0,30
194,194,,0,16
195,195,,4,0
196,196,,0,9
197,197,,0,16
198,198,,0,9
199,199,,0,9
200,200,,0,4
201,201,,0,4
202,202,,0,9
203,203,,0,22
204,204,,0,2
205,205,,0,8
206,206,,0,9
207,207,,0,22
208,208,,0,13
209,209,,0,29
210,210,,0,26
211,211,,0,15
212,212,,0,22
213,213,,0,22
214,214,,0,2
215,215,,0,17
216,216,,0,2
217,217,,0,4
218,218,,0,8
219,219,,0,17
220,220,,0,4
221,221,,0,2
222,222,,0,26
223,223,,0,13
224,224,,0,5
225,225,,0,13
226,226,,0,17
227,227,,0,2
228,228,,0,16
229,229,,0,17
230,230,,0,15
231,231,,0,17
232,232,,0,13
233,233,,0,5
234,234,,0,7
235,235,,0,8
236,236,,0,15
237,237,,0,9
238,238,,0,13
239,239,,0,2
240,240,,0,16
241,241,,0,15
242,242,,0,9
243,243,,5,0
244,244,,0,16
245,245,,0,9
246,246,,0,9
247,247,,0,26
248,248,,0,16
249,249,,0,29
250,250,,0,29
251,251,,0,13
252,252,,0,22
253,253,,0,29
254,254,,0,29
255,255,,0,22
256,256,,0,15
257,257,,0,15
258,258,,0,22
259,259,,0,15
260,260,,6,0
261,261,,0,30
262,262,,0,13
263,263,,0,15
264,264,,0,29
265,265,,0,15
266,266,,0,22
267,267,,7,0
268,268,,0,5
269,269,,0,22
270,270,,0,4
271,271,,0,8
272,272,,0,9
273,273,,0,17
274,274,,0,8
275,275,,0,6
276,276,,0,9
277,277,,0,8
278,278,,0,16
279,279,,0,9
280,280,,0,16
281,281,,0,15
282,282,,0,9
283,283,,0,9
284,284,,0,9
285,285,,0,9
286,286,,0,9
287,287,,0,22
288,288,,0,29
289,289,,0,16
290,290,,0,8
291,291,,0,5
292,292,,0,22
293,293,,0,13
294,294,,0,2
295,295,,0,13
296,296,,0,8
297,297,,0,13
298,298,,0,16
299,299,,0,32
300,300,,0,16
301,301,,0,4
302,302,,0,4
303,303,,0,21
304,304,,0,9
305,305,,0,15
306,306,,0,22
307,307,,0,13
308,308,,0,5
309,309,,0,5
310,310,,0,13
311,311,,0,22
312,312,,0,22
313,313,,0,9
314,314,,0,8
315,315,,0,8
