Id,Label,timeset,modularity_class,cluster_size
23,cluster=1,,5,291
15,cluster=2,,5,178
0,cluster=3,,7,166
16,cluster=4,,0,165
3,cluster=5,,4,154
5,cluster=6,,4,154
24,cluster=7,,6,152
9,cluster=8,,2,150
7,cluster=9,,2,132
31,cluster=10,,4,124
11,cluster=11,,5,121
19,cluster=12,,7,113
22,cluster=13,,0,108
4,cluster=14,,4,107
39,cluster=15,,5,107
38,cluster=16,,5,106
2,cluster=17,,5,103
10,cluster=18,,2,103
29,cluster=19,,4,90
36,cluster=20,,6,90
20,cluster=21,,4,87
26,cluster=22,,7,86
28,cluster=23,,9,85
14,cluster=24,,5,82
12,cluster=25,,6,80
17,cluster=26,,8,76
32,cluster=27,,8,76
35,cluster=28,,4,76
21,cluster=29,,6,72
6,cluster=30,,2,68
1,cluster=31,,3,66
18,cluster=32,,0,65
37,cluster=33,,9,65
30,cluster=34,,1,61
13,cluster=35,,4,55
34,cluster=36,,3,51
8,cluster=37,,1,50
33,cluster=38,,2,45
25,cluster=39,,3,43
27,cluster=40,,0,43
