,Title,modularity_class
0,Energy efficient and low-cost server architecture for hadoop storage appliance,15
1,The effects of cobalt phthalocyanine and polyacrylic acid on the reactivity of hydrogen peroxide oxidation reaction and the performance of hydrogen peroxide fuel cell,9
2,An accurate weight binarization scheme for CNN object detectors with two scaling factors,16
3,Dielectric property characterisation of thin films based on iterative comparisons of fullwave simulations and measurements,29
4,Mesoporous Mg-doped hydroxyapatite nanorods prepared from bio-waste blue mussel shells for implant applications,9
5,Hydrogenerated black titanium dioxide-embedded conducting polymer for boosting electron flow in perovskite devices,9
6,Three-dimensional core–shell structured NiCo2O4@CoS/Ni-Foam electrocatalyst for oxygen evolution reaction and electrocatalytic oxidation of urea,9
7,Floor vibration experiment and serviceability test of iFLASH system,13
8,Simple P-I diagram for structural components based on support rotation angle criteria,13
9,Analysis of improvement effect of rail design standard for high speed application of existing rail lines,2
10,Applicability evaluation of dynamic amplification factor considering track support stiffness,2
11,Study on the optimization of gauge expansion for improvement of running performance of high-speed railway turnouts,2
12,Zno nanorods-based piezoelectric nanogenerators on double-sided conducting paper,29
13,Compact Ultra Wide-Band and Tri-Band Antenna for Portable Device,29
14,Antioxidant compounds and activities of pedicel and sepals from twelve varieties of colored cherry tomatoes,22
15,The effects of temperature and membrane thickness on the performance of aqueous alkaline redox flow batteries using napthoquinone and ferrocyanide as redox couple,9
16,A Feasible and Holistic Characterization of an Affordable Anti-Fog Coating Enhancing Readability,16
17,Effect of nozzle L/D of gasoline direct injection injectors on spray characteristics under different superheated degrees,8
18,Investigation of oxygen and water distributions in the modified parallel-serpentine cathode channels of a unit polymer electrolyte membrane fuel cell,9
19,Simultaneous control of staphylococcus aureus and bacillus cereus using a hybrid endolysin lysb4ead-lyssa11,22
20,Comparisons of two types of particle tracking models including the effects of vertical velocity shear,8
21,Process design and economic evaluation of condensate recycling process for steam consumption reduction,5
22,Anti-oxidant copper layer by remote mode N2 plasma for low temperature copper–copper bonding,21
23,Comparisons of the anti‐inflammatory activity of dendropanax morbifera lev leaf extract contents based on the collection season and concentration of ethanol as an extraction solvent,22
24,Analysis on the effects of external temperature and welding speed on the safety of EVA waterproofing sheet joints by hot air welding,8
25,Optimal design of annular phased array transducers for material nonlinearity determination in pulse–echo ultrasonic testing,13
26,Multilayered salt water with high optical transparency for EMI shielding applications,29
27,Water-soluble carbon quantum dots modified by amino groups for polarization fluorescence detection of copper (Ii) ion in aqueous media,16
